,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_76_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
Dopamine,7.533153514654529,7.456130481126719,7.50205135829947,7.530107421448902,7.207351335962511,3.3912292379301956,6.694108432109401,7.327066486883193,7.747950602890835,0.0,7.146454560358264,0.0,7.922804335415429,0.0
Ecgonine,5.9140203340973425,6.056405647419178,5.604637898739097,0.0,0.0,5.609971453953279,6.249309888242232,0.0,6.139404288481905,5.782488075171775,0.0,0.0,0.0,0.0
Eicosapentaenoic acid,5.733756112278875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.781198712302479,0.0,6.0613759992024825,0.0
Erythritol,7.057174886725822,7.004249678315928,7.098001791756051,6.9679832938926065,5.03987835110096,6.964888381721179,7.007513757366415,7.039208461203764,5.94632744975929,7.13489278841801,0.0,7.475833766168646,7.3336406432298045,6.6459976555046625
"Erythrono-1,4-lactone, (Z)-",5.7886247101167525,5.924607493346552,5.930634231089074,5.713681222700064,5.843786786787718,5.964340727661332,5.595531512880789,6.2254456145743005,6.175655904195995,5.754841394446114,6.564618573033149,6.481799640056825,6.500769736407972,5.48739216242061
"Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-",3.3855664246259423,0.0,0.0,0.0,0.0,0.0,0.0,3.4858434301967622,3.6124182636728217,0.0,0.0,0.0,0.0,0.0
"Ethanol, 2-(9-octadecenyloxy)-",3.8665651708345337,3.8260735705343314,3.837995065911032,3.886921513863148,3.7812424494047048,3.8618837865470312,3.88029609999091,3.16298299096305,3.8476979085727754,0.0,3.735913782419864,3.474797803359565,3.4212241781373542,0.0
Ethanolamine,8.821671785887355,9.076608930512595,8.943697245176416,6.194653338826881,9.044888050690682,8.872108920875876,8.611005290671365,9.030470449728774,9.282954380510066,9.022464830182225,9.958436023538924,9.665633076686866,9.865073417661042,8.892086544392965
"Ethanone, 1-(2,5-dimethoxyphenyl)-",5.249026366213033,5.260356755733645,5.414734907807496,4.845185998570509,5.22867520553301,5.35261800438204,4.8472743839644545,5.325952822144115,5.556293029425183,5.245221383105148,5.482679222915296,5.4684906641154205,5.303647203849982,4.4784323396338115
"Ethanone, 1-(5-methoxy-2-methyl-3(1H)-indolyl)-",2.967474770275968,3.5700468563875507,3.7938717482842903,0.0,3.5040394323204773,3.7194840375401337,0.0,3.694885854519509,3.862677910824242,3.558597639355766,0.0,0.0,0.0,3.695818114207936
Ethyl alpha-D-glucopyranoside,0.0,0.0,4.457005222564948,0.0,4.761777282553641,0.0,0.0,0.0,0.0,3.8173369921885456,2.288869583444402,2.799514504078661,0.0,0.0
Ethyl cis-2-trimethylsilyl-cyclopropane-1-carboxylate,6.9613182938896,6.736108117410068,7.023588115269015,6.946283125866906,6.917669852455959,7.014661099736814,7.051213439846618,7.015714254471377,7.02473999290915,7.100078258280936,7.018571588088844,6.5122652879504095,6.711999278310076,6.779871636982111
Fenitrothion,6.510249782789694,6.794944624068871,6.895029635802993,6.740958003899959,6.831163427259916,6.836762906556508,6.7535168057780535,7.018384928172446,7.097155552053457,6.8294111504152575,6.880120876604526,6.835003228418485,6.285796752569711,6.307488797115542
"Furan-2-carboxaldehyde, 5-(1-piperidyl)-",0.0,0.0,0.0,4.236141183220402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1570768306574748
"Furan, 2-pentyl-",0.0,5.414642072280554,5.324625453415329,4.660483629626344,5.1792343334315145,0.0,0.0,5.090101975578759,5.404565061901922,0.0,0.0,5.833420232828552,0.0,0.0
Galactopyranose,5.014402262250083,5.314328025999429,5.276136870128048,5.142627207926847,5.418643286693364,5.130875736600641,5.027922484212367,5.205817554571954,5.456952115895519,5.10674901975936,3.8570858277136417,3.357372429927729,5.29757280631666,4.9984445991038235
Gln-Ala,0.0,0.0,6.214911834440066,5.600454775149877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glucopyranose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35640246918504,10.11079940289466,10.052418922261491,10.197608148113314,10.064651125814688
Glucose,5.690077719452627,3.3997472932124637,7.176614121662966,0.0,4.943708130658213,4.890788567397126,5.703308417005911,4.541064747374762,6.805058895238671,6.248987357446246,0.0,6.78453050650486,7.186970073129044,0.0
Glyceric acid,7.596595177030144,7.983752511420883,7.811371867525393,7.629064577423036,7.320289264316954,7.659228257225612,7.553010981853332,7.935607997865962,8.084694288127045,7.720623966816737,0.0,0.0,0.0,0.0
Glycine,6.293860671258224,6.314690458796554,6.225698363720183,7.809952443767214,5.870718343715516,6.037183035146437,6.806539759629271,6.141374103929992,6.863787789640197,6.438881696179327,8.462045575178974,8.33606576679442,8.01261889933332,8.329658345584583
"Glycine, N-(1-oxobutyl)-",5.573487528735348,5.319378489362475,6.607560346799519,6.72502744267653,6.202457705849092,6.104089107396928,5.23123416170391,7.017752182931725,7.284323974524138,5.804501931489422,6.90837375645017,6.536780155920247,6.993364651457697,5.617057972056037
"Glycine, N-(N-DL-leucylglycyl)-",0.0,0.0,0.0,0.0,0.0,5.977690423557137,6.647638457201528,0.0,0.0,6.480753777042778,0.0,0.0,0.0,0.0
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",6.08636012542533,6.133978156097502,6.659436775687408,6.664878042277824,0.0,6.559719694257572,6.398691367904411,6.81851220270079,6.888583047809363,6.280144271677751,7.277317585641195,7.236480065623307,7.217769522629599,6.225867562453518
Glycolic acid,7.620188386701148,7.711953352644659,7.718503657719822,7.683364539997234,7.571645788166503,7.66365897475597,7.656677118621192,7.645796692785687,7.732886715428315,7.724920343067688,8.230224326424462,8.18071905835566,8.180793484242546,7.466927221625468
Glycyl-l-glutamine,0.0,5.058418753000585,0.0,5.221219087011633,0.0,0.0,0.0,0.0,0.0,0.0,6.377879831820876,6.42767682603386,6.027403397829964,0.0
Glyoxime,5.376403205423673,5.62230590291064,5.576784198140799,5.270464363044406,5.411993410904271,5.484285015555193,5.443774449709959,5.524920203948305,5.691895286436436,5.5019513226943895,6.04549895133761,6.0767685922350045,5.929461428597393,5.630202933504502
Guanabenz,7.944061124449943,8.373999544308104,7.948450563440411,8.421885947547954,8.129999434148363,7.560927359918794,7.2266037148682365,8.117906345513667,7.802099161464017,7.325596324840614,0.0,0.0,0.0,8.325475785458638
"Guanidine, N,N-dimethyl-",7.84171228874091,7.942713971988062,7.798899885941639,7.902564978480487,7.755164224827928,7.720704968639924,7.682848093014061,7.885454419352742,7.685092315786294,7.692780353833878,7.663831966837,7.730928252620691,7.708220472033609,7.73848176446251
"Gulonic acid, gamma-lactone",0.0,0.0,0.0,5.695633066871718,0.0,0.0,0.0,4.33009775157692,5.641423405944076,0.0,0.0,0.0,0.0,0.0
Heptadecanoic acid,6.854451199391046,6.846219681462912,6.889773096665785,6.878508217094943,6.832421385565318,6.913203328524105,6.860499495812423,6.914106702942601,7.009560337815567,6.830793497482025,7.168278270660715,7.252855238840083,7.168890521264462,6.876608639240731
Heptanoic acid,5.70134547906549,6.064782700985473,5.616870676261355,5.755016361676837,5.726232553562655,5.942395297358586,5.971657498413362,5.531114520279045,5.865383726287704,5.70922449627656,5.548923050488074,5.772683367413582,5.645816913880717,5.6274947475387185
Hexanedioic acid,5.3911029683153835,5.52236488456865,5.392475992731213,5.398579756795703,6.000788085773631,5.702719435565344,5.601626625715998,5.372869481986635,5.6247177810696245,5.503875780781479,5.816902344499703,5.8570083946788145,5.834832274010278,5.269875834497087
Hexanoic acid,6.991076833160007,8.005321238449088,7.4253444789324865,7.074945304627161,7.430348855459553,7.181083967258438,7.205804642074455,7.20940538853365,7.756470529485656,7.188992014850451,7.501646859118586,7.9226287394423,7.515135233938047,7.505452107961591
Hexanoylglycine,3.3433273183765406,3.710935620186581,4.5406287876325875,4.344741143770297,4.303886478413153,3.634530849524269,3.6320650021169065,4.62034320548092,4.875504018054607,4.20160733260606,4.973616579309178,4.6756667653362465,4.678584739902635,3.943766554366163
Hippuric acid,6.35232210050784,6.33648820402072,6.757718619289639,6.218884808706857,6.50691247610754,6.769647960603073,6.460972578105567,6.541799807528731,6.705819116414638,6.306977529618198,6.826136456084292,6.883874136544988,6.779329055950774,6.402661777125738
Homocysteine thiolactone,3.5841739800578463,4.097869865238414,3.958294734818389,4.772626826151811,3.659428252793252,3.8407020365456375,4.563120122386951,3.9462364598008746,4.020196753334385,4.376317951643903,5.85775383756452,5.738498269735753,5.4304529721703965,0.0
Hydantoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.021388464687163,6.755222702064251,0.0,6.689904717313762,0.0
Hydracrylic acid,6.399120523154514,6.369354575266014,6.520046562608748,6.2746942612519865,6.419893577509535,6.2993955189695,6.313144817604153,6.484921348829208,6.490596939997624,6.479624323234628,7.007966420089413,6.842160348742467,6.8798118697065105,6.208379138760056
Hydroquinidine,4.488218456665833,5.191632654376919,4.458515811899114,5.007669381624578,0.0,4.302599804268025,4.55308063988234,4.580254750356329,5.193835248708987,4.3259357151897415,0.0,4.722547316484081,4.6081587865491285,0.0
Hydroquinone,5.282144889410059,5.564290550108623,5.363948303207257,4.969348238922213,5.174343919350972,5.433154026412538,5.268978243618501,5.341948675265342,5.403940838556027,5.33914188257465,6.010004383576521,6.193334375112366,0.0,0.0
Indole-3-carboxaldehyde,0.0,0.0,0.0,0.0,0.0,0.0,4.667299304174092,3.615415365772628,4.261243713246748,4.735814365036536,5.4385014166986565,5.194227587068473,5.234858031741946,0.0
Indole-3-lactic acid,6.607707552073383,6.1227865368451875,5.847550513815513,7.150383523771961,6.007423766055838,0.0,7.096690640636125,6.1111834322580645,6.848692269250003,6.6416238139687085,7.399624599997263,0.0,0.0,7.222440878226786
Indole-5-carboxylic acid,3.8104145576647936,3.0263875606376742,4.000966070726316,3.870069992136528,4.049141373787983,4.113823326794445,4.139463389488927,3.2478767114752234,4.041492017081232,4.20667094985663,4.760422234231602,4.857269494370858,4.629979354767092,0.0
"Inosose-2, 1,3,4,5,6-pentakis-",6.993493413043008,6.976833896465427,6.633148468831158,7.093052147222394,6.940653540538058,6.902800484604807,0.0,7.012046721793676,7.095424988421825,6.905079150349394,7.328300736148138,7.387291842366816,7.412133061039748,7.076568234480857
Isofucosterol,0.0,0.0,3.591685922077718,0.0,3.177056216701568,3.4560725047127683,3.600790868129581,0.0,3.5668857333149604,3.2960753513880925,3.0870064506861303,3.7694415290365977,3.743380271500075,3.830360656262833
Isonicotinic Acid,6.394155686044342,6.438744769692926,6.4576995057530695,6.4621741337387295,6.376173400369638,6.425756722295944,6.455434320541386,6.417771088921426,6.486198058923985,6.453355837004191,4.255755062595887,0.0,4.211722320979523,0.0
Isopropyl palmitate,0.0,0.0,3.5255975350147586,3.7033435105371377,3.8031233244205658,0.0,3.7220827882133225,0.0,0.0,3.7921166328557607,3.258752760733293,3.295201499297269,3.305897889900574,3.290774381548439
