cpx_gene,pls_metabolite,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
ENSMUSG00000041642-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.017407766,0.964546145,9,2,TRUE,-,-1,0.975198435
ENSMUSG00000051043-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.583160147,0.099310587,9,2,TRUE,-,-1,0.365921173
ENSMUSG00000045817-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.017407766,0.964546145,9,2,TRUE,+,1,0.975198435
ENSMUSG00000031808-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.6,0.4,4,,,0,-0.644087327,0.061176799,9,2,TRUE,-,-1,0.312065356
ENSMUSG00000027523-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.2,0.8,4,,,0,0.235004836,0.542741408,9,2,TRUE,+,1,0.708896961
ENSMUSG00000037716-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.4,0.6,4,,,0,0.574456265,0.105704572,9,2,TRUE,+,1,0.373904893
ENSMUSG00000024472-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.452601905,0.221216595,9,2,TRUE,+,1,0.482527724
ENSMUSG00000038545-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.2,0.8,4,,,0,-0.356859195,0.345809685,9,2,TRUE,-,-1,0.578096579
ENSMUSG00000030217-P,"L-Lysine, ethyl ester ",0.707106781,0.181690114,5,0.8,0.2,4,,,0,0.489461125,0.181113043,9,2,TRUE,+,1,0.448788434
ENSMUSG00000065799-P,"L-Lysine, ethyl ester ",-0.362738125,0.548485765,5,-0.8,0.2,4,,,0,-0.62930716,0.069386679,9,2,TRUE,-,-1,0.327510151
ENSMUSG00000021904-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.2,0.8,4,,,0,-0.017407766,0.964546145,9,2,TRUE,-,-1,0.975198435
ENSMUSG00000105607-P,"L-Lysine, ethyl ester ",0.544107188,0.343110821,5,0.8,0.2,4,,,0,0.18791811,0.628263715,9,2,TRUE,+,1,0.763934
ENSMUSG00000044813-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.165373773,0.670687144,9,2,TRUE,-,-1,0.791042389
ENSMUSG00000030268-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.105409255,0.894590745,4,,,0,-0.106232135,0.785610595,9,2,TRUE,-,-1,0.863565695
ENSMUSG00000090110-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.617975679,0.07612519,9,2,TRUE,-,-1,0.334674953
ENSMUSG00000026563-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.522232968,0.149224054,9,2,TRUE,-,-1,0.420753852
ENSMUSG00000047067-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.452601905,0.221216595,9,2,TRUE,-,-1,0.482527724
ENSMUSG00000067928-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.4,0.6,4,,,0,0.147966008,0.704011728,9,2,TRUE,+,1,0.811676975
ENSMUSG00000047181-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.8,0.2,4,,,0,-0.382970843,0.308991804,9,2,TRUE,-,-1,0.55046859
ENSMUSG00000034786-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.8,0.2,4,,,0,0.668638858,0.048948424,9,2,TRUE,+,1,0.290919962
ENSMUSG00000003360-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.4,0.6,4,,,0,-0.304635898,0.425413443,9,2,TRUE,-,-1,0.630474854
ENSMUSG00000032172-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.017407766,0.964546145,9,2,TRUE,-,-1,0.975198435
ENSMUSG00000020444-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.2,0.8,4,,,0,-0.269820367,0.482591715,9,2,TRUE,-,-1,0.670135839
ENSMUSG00000048175-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.6,0.4,4,,,0,-0.409082491,0.274269322,9,2,TRUE,-,-1,0.523617565
ENSMUSG00000045302-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.8,0.2,4,,,0,-0.409082491,0.274269322,9,2,TRUE,-,-1,0.523617565
ENSMUSG00000041841-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.4,0.6,4,,,0,-0.391674726,0.297181462,9,2,TRUE,-,-1,0.540398236
ENSMUSG00000039157-P,"L-Lysine, ethyl ester ",0.353553391,0.559404344,5,0.2,0.8,4,,,0,0.15666989,0.687291203,9,2,TRUE,+,1,0.802667695
ENSMUSG00000015932-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-0.4,0.6,4,,,0,-0.487417437,0.18321932,9,2,TRUE,-,-1,0.449990834
ENSMUSG00000004285-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.2,0.8,4,,,0,-0.243708718,0.527441791,9,2,TRUE,-,-1,0.700616318
ENSMUSG00000044927-P,"L-Lysine, ethyl ester ",-0.353553391,0.559404344,5,-1,0,4,,,0,-0.243708718,0.527441791,9,2,TRUE,-,-1,0.700616318
ENSMUSG00000027782-P,"L-Lysine, ethyl ester ",-0.707106781,0.181690114,5,-0.4,0.6,4,,,0,-0.59186403,0.093157828,9,2,TRUE,-,-1,0.358292159
