NAME,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224
,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
Heptanoic acid,38140786.45,27302474.79,31494701.05,19159483.54,21284185.49
Heptylamine,0,15886.69477,15566.65313,13074.66695,15208.98502
Hexacosanoic acid,5009.855769,4101.450256,4216.280865,0,3468.432143
Hexanoic acid,139372892.6,105656055.2,102398665.3,71873488.46,83068765.56
Hydracrylic acid,13255807.76,16831451.25,15857743.55,10661169.2,15289880.38
Hydroxylamine,0,0,0,0,87091793.72
"Hymexazole, tert-butyldimethylsilyl ether",152827215.7,58623745.15,34171055.99,40824941.62,32555732.95
Hypoxanthine,275499729.2,240651673.7,120957627.8,102944831.4,72133501.38
Iminodiacetic acid,38.79657967,552.2557951,166.6224859,663.2923518,645.3940976
Indoprofen,0,0,0,0,0
Isobutanol,0,159174.9759,179560.4938,126734.3327,764694.452
Isonicotinic Acid,100613851,76430779.68,67863189.1,62009601.49,66100999.61
Isopropyl palmitate,3294.507232,2656.356461,2719.674528,2492.35704,3543.18664
Isopropylamine,64751222.91,68714743.09,49314773.96,20115219.46,129473594.6
Isosorbide,0,0,0,0,0
Ketamine,4245060593,3418183148,1642841740,1623685225,1398853147
"Kojic acid, bis(tert-butyldimethylsilyl) ether",3098310.595,1116386.841,1011756.488,830678.6441,244246.9008
L-(+)-Threose,0,781959236.8,0,0,0
Lactic acid,1559026211,2019287161,1267231337,0,1931212063
L-Alanine,414.9172208,225.3574329,239.4457358,156.5866145,189.6836271
L-Asparagine,4792975.319,2601955.843,0,0,0
L-gamma-Glutamyl-L-glutamic acid,0,0,0,0,0
Leucylglycine,1182848.777,5436582.997,3916766.901,208065.5813,4637372.043
Levulinic acid,25730329.39,21263955.88,17970544.57,13900690.89,15013693.06
L-Glutamic acid,1242537.36,0,1401308.834,0,1488540.351
L-Glutamine,137.9823661,267.05972,233.6272354,260.3084592,0.919165029
"L-Histidine, N,1-bis(tert-butyldimethylsilyl)-",33217893.13,30578678.59,26684306.3,32868332.89,27184452.15
Lignoceric acid,228209.9079,131216.5096,82528.97747,87816.42678,129231.7223
L-Leucine,1085303.341,657227.9111,583452.251,710798.2161,772134.8647
"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",2472263719,2994543768,2071540616,0,6771107845
L-Lysine,18707992.05,19318665.74,19649035.92,9292779.546,12890397.87
L-Norleucine,0,0,310750762.3,0,0
"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",227765601.8,404636417.7,453059331.4,0,611020117.7
L-Ornithine,0,78489.78444,0,0,23783308.59
L-Pyroglutamic acid,16653331.48,0,0,0,1897386.514
L-Serine,0,0,0,0,959202.9979
L-Threonine,16496124.86,12492822.95,0,487140.3562,0
L-Tryptophan,114829.2065,16568.50386,9624.734431,20845.50008,18176.05016
L-Tyrosine,155011651.7,37340695.65,0,99635780.63,59182503.94
Luciferin,0,0,99.92395173,1613.766059,0
Lupinine,0,1540572.969,0,0,1607336.333
L-Valine,21505660.66,5318219.966,7032683.348,7372556.6,5503522.766
L-Val-L-Leu,2808805683,0,0,0,0
Malic acid,14440389.15,3780978.779,4111993.538,2105530.672,1669849.545
Maltol,0,0,0,0,0
Methanesulfonic acid,44483823.47,14660096.54,5502410.999,9631693.621,1350104.504
Methyl lactate,186694.8201,221912.5075,247376.8913,151223.7707,292756.7518
Methylsuccinic acid,0,0,0,0,0
Methylthiouracil,44190557.27,11648199.42,3928030.814,5073820.18,2053656.815
Mevalonolactone,45274.66901,766930.4334,711268.384,502132.0747,1025323.383
Monocaproin,251467560.8,155962239.4,113849387.2,107739696.3,0
m-Toluic acid,239746.0254,182973.1234,173100.2894,169910.1848,161959.1062
Myristic acid,2420389.501,1487369.564,1479138.233,1195181.778,1862993.727
"N,N-Dimethyl-2-aminoethanol",4819928929,1662982414,552840614.4,1064512458,0
"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",0,0,0,0,0
N-Acetylaminoethanol,1344639041,2335780625,2266635471,1826431581,2873589196
N-Acetylaspartic acid,59264.80471,1356878.627,761726.2738,664408.8261,242174.2533
N-Acetyl-L-alanine,829455.3606,640030.1622,567973.0865,552943.8207,799416.4586
"Naringenin 4',7-dimethylether",1247480.402,130265.6785,180465.9089,680679.9689,440134.8653
N-Caffeoyl-O-methyltyramine,232.1895893,246.7349529,439.1459981,786.3491823,1581.253345
N-Ethylamphetamine,0,156272645,169960819.7,0,148726977.2
N-Ethyldiethanolamine,13186207.34,7738282.296,9452345.993,4195193.721,6398702.283
Niacin,190036.7689,91048.8753,89620.37849,58198.51134,58647.81689
Niacinamide,392237540.5,147828856.2,84903317.77,68546072.13,123857187.5
N-Isobutyrylglycine,134726513.4,77882547.21,76737611.15,9051204.645,80897361.01
N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,0,20673.07078,19528.74831,20057.77975,17235.37335
N-Methylacetamide,111111431.2,104833260.3,89526602.35,65850334.16,101867237.3
Nonanoic acid,423236804.8,302823840.1,333679672.8,226006567.7,253612831.4
Norephedrine,0,0,921390858.6,153752780.1,320199231.8
Norketamine,292.833249,519.4667919,217.1982337,313.9680842,469.8350862
"Norleucine, N-trimethylsilyl-",0,0,0,0,0
Octacosanol,21722164.61,0,39391196.68,0,40788758.75
"Octadecanoic acid, octyl ester",0,0,0,0,0
Octadecanoic acid,0,3887.003402,0,0,4820.500165
Octanoic acid,56098249.35,42220682.48,50690515.69,43764287.56,0
Octocrylene,0,0,0,0,0
Oleamide,99531171.69,75081706.51,25018434.37,31803879.54,18531561.5
Oleic Acid,204128230.6,0,0,0,0
Olomoucine,0,0,0,0,0
Oxalic acid,612392388.9,750900550.1,1016877042,533094123.9,716939268.7
"Oxalic acid, di(cyclohexylmethyl) ester",0,0,0,0,0
"Oxymorphone, bis(trimethylsilyl) ether",520522166.9,438885559.7,0,231225479.9,266226175.2
Palmitic Acid,0,0,0,7776327.441,9804701.424
Pentadecanoic acid,0,0,54375661.46,0,0
Pentanedioic acid,6567629.287,2561037.444,0,3473922.149,2892277.063
Pentanoic acid,15281791.86,15281894.28,12796209,10485503.46,10021012.29
"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",6389391.858,6976003.163,4474044.442,5930271.101,7799342.431
Phenol,140072151.3,244322003.6,339614410,115327144.7,338338482.5
Phenoxyethanol,31098101.89,14077663.48,10286247.23,13993924.35,10120901.67
Phosphoserine,0,0,0,0,0
Phthalazin-1-one,0,0,0,0,0
Phthalimide,0,0,0,0,0
Phytanic acid,678402.8931,1691325.209,2878459.885,1512745.961,2564878.25
Picolinic acid,159116193.6,263227835.9,247301640.9,160558122.1,260955951
Pinosylvin,1236046.294,518597.1853,53177.3604,295514.8924,65725.44567
Pipecolic acid,2962857.981,1376115.21,1495057.603,1428658.14,1970966.458
"Piperazine, 1-(4-acetylphenylsulfonyl)-4-methyl-",0,0,0,21194809.6,0
Praziquantel,0,0,0,0,0
Pro-Ala-Lys,0,0,0,0,0
Prometryne,0,0,0,0,0
"Propanoic acid, 3-[(tert-butyldimethylsilyl)oxy]-2-methyl-",21336749.36,7488410.777,9934621.149,0,5721542.034
"Propanoic acid, dimethyl(isopropyl)silyl ester",741548.4348,264926.0542,568518.6148,401233.153,272159.6624
Propanoic acid,0,292282.9334,310805.8746,3861324.729,0
"Propionic acid, 3-iodo-, octadecyl ester",0,0,1188930.302,0,0
Propylene glycol,0,373762.5567,260722.4631,261689.2813,353955.6911
Prostaglandin,0,65658.29712,48629.08262,73000.41806,71723.84099
"Pyrazole[4,5-b]imidazole, 1-formyl-3-ethyl-6-beta-d-ribofuranosyl-",0,0,0,0,0
"Quinoxaline, 2,3-diphenyl- ",945136713.5,2106745449,300141945.1,0,0
Salsoline,1592304.798,4174.286454,44163.07546,9854.661092,20632.54165
Sarcosine,0,1131245.038,0,70466.98727,75189.17742
Simetryn,0,0,0,0,0
Spiroxamine,0,0,0,2314796.956,4297314.638
Stearic acid,8142207560,71629543.64,61593825.72,61717279.83,34162965.86
Suberic acid,1025692.957,686145.697,571498.461,674923.3692,711024.2259
Succinamide,0,0,0,0,0
Sulindac,0,0,0,1456301.49,1565410.472
Supraene,80584013.08,46721659.31,0,8589895.077,14624739.69
Synephrine,0,647616.2406,648308.8894,729942.6176,985181.2529
Taurine,0,0,0,0,0
tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,0,0,0,0,0
tert-Butylamine,0,0,0,0,1704940974
"Tetrahydro[2,2']bifuranyl-5-one",0,0,0,0,109647194.3
Tetrahydro-solasodine triacetate,469599.3614,397609.8405,397590.5393,316991.6012,382666.7338
Theobromine,0,0,0,0,0
Thymol,235618.0957,103617.9736,244713.1264,0,79470.79104
Triethyl citrate,44032.75864,36521.35757,30369.95665,26297.73356,38222.0235
Trimethylolpropane,0,53341.53089,34250.83086,69227.6468,0
Tromethamine,0,0,0,791151.2943,1349386.385
Tyr-Val,0,0,0,147769650.3,0
Uracil,91477789.93,37090206.14,45127078.73,31759426.56,39810766.32
Urea,1656812872,1911620482,2658717921,1258877469,2236315916
Vanillylmandelic acid,881.6654274,812.7423534,1078.203563,2112.415599,182.507155
"Weberine, 5-desmethoxy-",20003605.42,0,18236018.36,13908637.36,0
Xylazine,4816584.377,3704625.999,2510222.018,2515779.225,3665496.747
Yangonin,0,67871.44629,81574.23062,72396.95611,71849.29316
