Name,Tissue,"BiBC, Feces-Cortex, via Plasma"
Fgl2,Choroid Plexus,0.7
Sin3a,Choroid Plexus,0.7
Shfl,Choroid Plexus,50.8
Isg15,Choroid Plexus,8.5
Ap3s2,Choroid Plexus,394.9
Ptk2b,Choroid Plexus,336.8
Lrp2bp,Choroid Plexus,0.0
Rif1,Choroid Plexus,21.2
Usp48,Choroid Plexus,0.2
Elmo2,Choroid Plexus,0.0
Tppp3,Choroid Plexus,320.2
Mrps11,Choroid Plexus,
Ccpg1,Choroid Plexus,6.9
Nprl2,Choroid Plexus,0.0
Dlg4,Choroid Plexus,2046.7
Vmp1,Choroid Plexus,0.0
Ubc,Choroid Plexus,898.3
Arrdc4,Choroid Plexus,257.2
Sema6a,Choroid Plexus,0.0
Erbin,Choroid Plexus,2691.9
Gm15587,Choroid Plexus,0.0
Tmem184c,Choroid Plexus,387.3
Ganab,Choroid Plexus,381.4
Twsg1,Choroid Plexus,590.0
Cyren,Choroid Plexus,356.1
Rad54l2,Choroid Plexus,557.8
Mthfd1l,Choroid Plexus,0.0
Ppfibp1,Choroid Plexus,0.0
Errfi1,Choroid Plexus,0.6
Gxylt1,Choroid Plexus,285.7
Gm19817,Choroid Plexus,885.0
Rit1,Choroid Plexus,
Leprotl1,Choroid Plexus,2.3
Chchd7,Choroid Plexus,
Nit2,Choroid Plexus,105.2
Ndn,Choroid Plexus,207.0
Nod1,Choroid Plexus,0.0
Id1,Choroid Plexus,4.6
Osgepl1,Choroid Plexus,0.3
Mansc4,Choroid Plexus,21.9
Sfi1,Choroid Plexus,0.0
Xaf1,Choroid Plexus,
Eif3l,Choroid Plexus,0.0
Slc25a20,Choroid Plexus,0.0
mt-Tl1,Choroid Plexus,3.5
Cep290,Choroid Plexus,51.9
Cstf2,Choroid Plexus,260.1
Prkn,Choroid Plexus,0.0
Sox13,Choroid Plexus,567.6
Scrib,Choroid Plexus,300.3
Setbp1,Choroid Plexus,269.2
Lgr4,Choroid Plexus,0.0
Mpp7,Choroid Plexus,408.4
Tsc22d1,Choroid Plexus,404.4
Pja2,Choroid Plexus,1940.0
Zfp1007,Choroid Plexus,3825.8
Sytl2,Choroid Plexus,1307.3
Hlf,Choroid Plexus,1246.2
4933439K11Rik,Choroid Plexus,71.4
Flvcr1,Choroid Plexus,328.8
Foxc2,Choroid Plexus,0.0
Atn1,Choroid Plexus,3.2
Kpna3,Choroid Plexus,16.9
Mex3a,Choroid Plexus,0.0
Fer,Choroid Plexus,136.7
