Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000027009-S,"1,3-Propanediol",nan,nan,0
ENSMUSG00000027009-S,10-Undecynoic acid,nan,nan,0
ENSMUSG00000027009-S,"13-Docosenamide, (Z)",nan,nan,0
ENSMUSG00000027009-S,1-Butanol,nan,nan,0
ENSMUSG00000027009-S,"1-Heptanol, 2-propyl-",nan,nan,0
ENSMUSG00000027009-S,1-Hexacosanol,nan,nan,0
ENSMUSG00000027009-S,1-Octadecanol,nan,nan,0
ENSMUSG00000027009-S,"1-Octanol, 2-butyl-",-1.0,0.0,3
ENSMUSG00000027009-S,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",nan,nan,0
ENSMUSG00000027009-S,"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",nan,nan,0
ENSMUSG00000027009-S,"2(5H)-Furanone, 4-(hydroxymethyl)",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"2-(Ethylamino)ethanol, N-acetyl",-1.0,0.0,3
ENSMUSG00000027009-S,2-(Methylamino)ethanol,-1.0,0.0,3
ENSMUSG00000027009-S,"2,2'-Bipyridine",-1.0,0.0,3
ENSMUSG00000027009-S,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027009-S,"2,3-Dihydroxybutanoic acid",-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027009-S,"2',3'-Di-O-acetyladenosine",nan,nan,0
ENSMUSG00000027009-S,"2,4,4'-Trihydroxybenzophenone",-1.0,0.0,3
ENSMUSG00000027009-S,"2,4,6-Cycloheptatrien-1-one",nan,nan,0
ENSMUSG00000027009-S,"2,4-Dihydroxyacetophenone",nan,nan,0
ENSMUSG00000027009-S,"2,4-Dimethoxybenzaldoxime",nan,nan,0
ENSMUSG00000027009-S,"2,4-Di-tert-butylphenol",-1.0,0.0,3
ENSMUSG00000027009-S,"2,4-Imidazolidinedione, 5,5-dimethyl",-1.0,0.0,3
ENSMUSG00000027009-S,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",nan,nan,0
ENSMUSG00000027009-S,"2,5-Dimethoxybenzhydrazide",0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"2,5-Dimethoxybenzonitrile",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"2,5-Dimethoxyphenol",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"2',5'-Dimethoxypropiophenone",0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",nan,nan,0
ENSMUSG00000027009-S,"2-Allyl-1,4-dimethoxybenzene",-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027009-S,2-Amino-4-methylbenzophenone,0.5,0.6666666666666666,3
ENSMUSG00000027009-S,2-Aminoquinolin-8-ol,nan,nan,0
ENSMUSG00000027009-S,2-Butanol,nan,nan,0
ENSMUSG00000027009-S,2-Buten-1-ol,nan,nan,0
ENSMUSG00000027009-S,"2-Butene-1,4-diol",nan,nan,0
ENSMUSG00000027009-S,2-Butenedioic acid,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",0.5,0.6666666666666666,3
ENSMUSG00000027009-S,2-Butoxyethanol,-1.0,0.0,3
ENSMUSG00000027009-S,2-Cyanobenzaldehyde,nan,nan,0
ENSMUSG00000027009-S,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"2-Cyclohexen-1-one, 3-methyl-",-1.0,0.0,3
ENSMUSG00000027009-S,2-Decanol,-1.0,0.0,3
ENSMUSG00000027009-S,2-Ethyl-1-butanol,nan,nan,0
ENSMUSG00000027009-S,2-Ethylhexanoic acid,-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027009-S,2-Ethylhexanol,nan,nan,0
ENSMUSG00000027009-S,"2-Furancarbodithioic acid, methyl ester",nan,nan,0
ENSMUSG00000027009-S,2-Furoic acid,-1.0,0.0,3
ENSMUSG00000027009-S,2-Hexanol,0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",nan,nan,0
ENSMUSG00000027009-S,"2-Hydroxy-2',4',6'-trimethoxychalcone",nan,nan,0
ENSMUSG00000027009-S,2-Hydroxy-3-methylbutyric acid,-1.0,0.0,3
ENSMUSG00000027009-S,"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",nan,nan,0
ENSMUSG00000027009-S,2-Isopropyl-5-methyl-1-heptanol,nan,nan,0
ENSMUSG00000027009-S,"2-Methyl-1,3-butanediol",-1.0,0.0,3
ENSMUSG00000027009-S,2-Methyl-3-pentanol,nan,nan,0
ENSMUSG00000027009-S,"2-Methylcyclohexanol, (Z)",-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027009-S,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",nan,nan,0
ENSMUSG00000027009-S,2-Naphthol,-1.0,0.0,3
ENSMUSG00000027009-S,2-Norbornanemethanol,nan,nan,0
ENSMUSG00000027009-S,"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",nan,nan,0
ENSMUSG00000027009-S,2-Pentadecanone,-1.0,0.0,3
ENSMUSG00000027009-S,"2-Pivaloyl-1,3-indandione",nan,nan,0
ENSMUSG00000027009-S,2-Propyl-1-pentanol,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,2-Pyrrolidone-5-carboxylic acid,-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027009-S,"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",nan,nan,0
ENSMUSG00000027009-S,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,3-(4-Methoxyphenyl)coumarin,nan,nan,0
ENSMUSG00000027009-S,"3,3-Bis{4-[(trimethylsilyl)oxy]phenyl}-2-benzofuran-1(3H)-one",nan,nan,0
ENSMUSG00000027009-S,"3,3-Dimethylacrylic acid",nan,nan,0
ENSMUSG00000027009-S,"3,4-Dihydroxybenzaldehyde",nan,nan,0
ENSMUSG00000027009-S,"3,4-Methylenedioxyamphetamine",nan,nan,0
ENSMUSG00000027009-S,"3,5-Dimethoxy-4-(tert.-butyldimethylsilyl)oxybenzaldehyde",nan,nan,0
ENSMUSG00000027009-S,"3,5-Dimethylphenol",-1.0,0.0,3
ENSMUSG00000027009-S,3-Amino-5-methylisoxazole,-1.0,0.0,3
ENSMUSG00000027009-S,3-Aminobenzoic acid,-1.0,0.0,3
ENSMUSG00000027009-S,3-Buten-2-one,-1.0,0.0,3
ENSMUSG00000027009-S,3-Heptanol,0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",nan,nan,0
ENSMUSG00000027009-S,3-Hydroxymethyl-2-trimethylsilyloxypentane,nan,nan,0
ENSMUSG00000027009-S,3-Methyl-3-buten-1-ol,nan,nan,0
ENSMUSG00000027009-S,3-Nonene,nan,nan,0
ENSMUSG00000027009-S,3-Phenyl oxindole,nan,nan,0
ENSMUSG00000027009-S,"4,4'-Dichlorobenzophenone",nan,nan,0
ENSMUSG00000027009-S,"4,5-Dihydro-1H-pyrazole",nan,nan,0
ENSMUSG00000027009-S,"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",-1.0,0.0,3
ENSMUSG00000027009-S,4-Aminobutanoic acid,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,4-Hydroxybutanoic acid,nan,nan,0
ENSMUSG00000027009-S,4-Methoxyphenol,nan,nan,0
ENSMUSG00000027009-S,"4-Methylquinoline-2,7-diol",nan,nan,0
ENSMUSG00000027009-S,4-Methylvaleric acid,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,4-Oxohexanoic acid,-1.0,0.0,3
ENSMUSG00000027009-S,"4-Phenyl-2,3-dihydro-1H-1,5-benzodiazepin-2-one",nan,nan,0
ENSMUSG00000027009-S,4-tert-Butyldimethylsiloxy-3-penten-2-one,nan,nan,0
ENSMUSG00000027009-S,5-Aminovaleric acid,nan,nan,0
ENSMUSG00000027009-S,5-Azacytosine,-1.0,0.0,3
ENSMUSG00000027009-S,"5-Chlorovaleric acid, nonyl ester",-1.0,0.0,3
ENSMUSG00000027009-S,"5-Ethyl-1,3-dioxane-5-methanol, tert-butyldimethylsilyl ether",nan,nan,0
ENSMUSG00000027009-S,5-Ethyl-5-methylnonadecane,nan,nan,0
ENSMUSG00000027009-S,5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,nan,nan,0
ENSMUSG00000027009-S,5-Nitroso-8-quinolinol,nan,nan,0
ENSMUSG00000027009-S,"5-Nonanol, tert-butyldimethylsilyl ether",-1.0,0.0,3
ENSMUSG00000027009-S,5-Oxohexanoic Acid,0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"6,7,4'-Trihydroxyisoflavone",-1.0,0.0,3
ENSMUSG00000027009-S,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027009-S,"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",nan,nan,0
ENSMUSG00000027009-S,6-Methyluracil,-1.0,0.0,3
ENSMUSG00000027009-S,6-Nitroveratryl alcohol,nan,nan,0
ENSMUSG00000027009-S,6-Oxoheptanoic acid,-1.0,0.0,3
ENSMUSG00000027009-S,"7(S),17(S)-Dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-docosapentaenoic acid",nan,nan,0
ENSMUSG00000027009-S,7-Hydroxy-4-(methoxymethyl)coumarin,nan,nan,0
ENSMUSG00000027009-S,8-Acetyl-7-hydroxycoumarin,nan,nan,0
ENSMUSG00000027009-S,8-Methylnonanoic acid,-1.0,0.0,3
ENSMUSG00000027009-S,"9,12-Octadecadienoic acid (Z,Z)",nan,nan,0
ENSMUSG00000027009-S,9-Ethyl-N-(trimethylsilyl)-9H-carbazol-3-amine,nan,nan,0
ENSMUSG00000027009-S,"9H-Xanthen-9-one, 1-hydroxy-3,5,6-trimethoxy",nan,nan,0
ENSMUSG00000027009-S,"9Z-Octadecenoic acid, (2S)-3-[(hydroxymercaptophosphinyl)oxy]-2-methoxypropyl ester ",nan,nan,0
ENSMUSG00000027009-S,Acetic acid,nan,nan,3
ENSMUSG00000027009-S,Aceturic acid,nan,nan,0
ENSMUSG00000027009-S,Aconitic acid,0.5,0.6666666666666666,3
ENSMUSG00000027009-S,Adenine,-1.0,0.0,3
ENSMUSG00000027009-S,Adipic acid,nan,nan,0
ENSMUSG00000027009-S,Adipoyl-L-carnitine,nan,nan,0
ENSMUSG00000027009-S,alpha-Hydroxyisobutyric acid,nan,nan,0
ENSMUSG00000027009-S,Allylescaline,0.5,0.6666666666666666,3
ENSMUSG00000027009-S,Aminoguanidine,nan,nan,0
ENSMUSG00000027009-S,Aniline,-1.0,0.0,3
ENSMUSG00000027009-S,Azelaic acid,-1.0,0.0,3
ENSMUSG00000027009-S,"Aziridine, 1-(2-buten-2-yl)",nan,nan,0
ENSMUSG00000027009-S,"Benz[a]anthracene-1,7,12(2H)-trione, 3,4-dihydro-8-hydroxy-3-methyl-, (3S)",nan,nan,0
ENSMUSG00000027009-S,"Benz[c]acridine, 5,10-dimethyl",nan,nan,0
ENSMUSG00000027009-S,"Benzaldehyde, 2,5-dimethoxy",nan,nan,3
ENSMUSG00000027009-S,"Benzene, 1,4-dimethoxy",-1.0,0.0,3
ENSMUSG00000027009-S,"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)",nan,nan,0
ENSMUSG00000027009-S,"Benzene, 1-ethyl-3,5-dimethyl",nan,nan,0
ENSMUSG00000027009-S,Benzeneacetic acid,nan,nan,0
ENSMUSG00000027009-S,Benzenepropanoic acid,1.0,0.0,3
ENSMUSG00000027009-S,"Benzenesulfonamide, N-butyl",-1.0,0.0,3
ENSMUSG00000027009-S,"Benzoic acid, 2-hydroxy-3-[(2-hydroxy-4-methoxy-6-propylbenzoyl)oxy]-4-methoxy-6-propyl-, methyl ester ",-1.0,0.0,3
ENSMUSG00000027009-S,"Benzoic acid, methyl ester",-1.0,0.0,3
ENSMUSG00000027009-S,Benzoic Acid,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,Benzophenone,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,Benzyl alcohol,-1.0,0.0,3
ENSMUSG00000027009-S,Biphenyl,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,Butachlor ESA,-1.0,0.0,3
ENSMUSG00000027009-S,Butanedioic acid,-1.0,0.0,3
ENSMUSG00000027009-S,Butylmethylamine,-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027009-S,Butyric Acid,-1.0,0.0,3
ENSMUSG00000027009-S,Chlorobenzilate ,nan,nan,0
ENSMUSG00000027009-S,Cholesterol,-1.0,0.0,3
ENSMUSG00000027009-S,cis-2-Decenoic acid,nan,nan,0
ENSMUSG00000027009-S,Citramalic acid,-1.0,0.0,3
ENSMUSG00000027009-S,Crotonic acid,-1.0,0.0,3
ENSMUSG00000027009-S,Curcumin,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,Cyclobutylamine,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,Cyclocurcumin,nan,nan,0
ENSMUSG00000027009-S,Cycloheptanol,-1.0,0.0,3
ENSMUSG00000027009-S,"Cyclohexanone, 3,3,5-trimethyl",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,Cyclooctylamine,-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,"Cytosine, N-(tert-butyldimethylsilyl)-",-1.0,0.0,3
ENSMUSG00000027009-S,Desmethylverapamil,nan,nan,0
ENSMUSG00000027009-S,Diacetyl monoxime,-1.0,0.0,3
ENSMUSG00000027009-S,Dibutyldodecylamine,nan,nan,0
ENSMUSG00000027009-S,Diclofenac,nan,nan,0
ENSMUSG00000027009-S,Diethylamine,-1.0,0.0,3
ENSMUSG00000027009-S,DL-Glyceraldehyde,-0.8660254037844387,0.33333333333333326,3
ENSMUSG00000027009-S,DL-p-Hydroxyphenyllactic acid,-1.0,0.0,3
ENSMUSG00000027009-S,"Dodecanoic acid, 1-methylethyl ester",-1.0,0.0,3
ENSMUSG00000027009-S,Dodecanoic acid,-1.0,0.0,3
ENSMUSG00000027009-S,"D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",-1.0,0.0,3
ENSMUSG00000027009-S,Durapan,-1.0,0.0,3
ENSMUSG00000027009-S,"Erythrono-1,4-lactone",-0.5,0.6666666666666666,3
ENSMUSG00000027009-S,Ethanolamine,0.0,1.0,3
ENSMUSG00000027009-S,Formamide,-1.0,0.0,3
ENSMUSG00000027009-S,Frangulin,nan,nan,0
ENSMUSG00000027009-S,Glabridin,nan,nan,0
ENSMUSG00000027009-S,Glyceric acid,nan,nan,0
