Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
Naphthofluorescein,Plasma,115.4,54.7%,,,20.0,32.1%,109.5,52.5%,,,78.5,45.2%,2535.4,92.7%,2619.4,95.9%,2267.1,94.1%,,,,,,,,
Neostigmine,Plasma,373.3,76.1%,,,91.4,48.6%,647.5,85.5%,,,158.2,56.4%,2592.8,93.0%,928.6,80.5%,2047.3,92.8%,,,,,,,,
Niacin,Plasma,17.6,35.0%,,,8.9,26.3%,7.4,28.5%,,,2.7,20.4%,0.0,0.0%,0.0,8.8%,0.0,9.0%,,,,,,,,
Niacinamide,Plasma,27.2,38.5%,,,6.9,25.0%,18.4,35.0%,,,7.5,25.2%,106.4,33.5%,77.3,39.0%,43.1,32.9%,,,,,,,,
Niclosamide,Plasma,411.4,78.1%,,,29.7,35.7%,97.3,50.2%,,,29.9,35.2%,1465.7,82.3%,1254.4,86.1%,631.1,71.7%,,,,,,,,
Nitrosothymol,Plasma,508.5,82.3%,,,166.4,58.7%,280.6,70.0%,,,115.4,50.9%,1330.4,80.9%,834.9,78.5%,452.4,64.0%,,,,,,,,
Nonadecanoic acid,Plasma,244.2,69.0%,,,141.9,56.2%,545.6,82.5%,,,173.2,57.4%,4891.7,98.5%,1909.1,92.7%,2731.9,96.0%,,,,,,,,
Norketamine,Plasma,0.4,20.9%,,,0.0,0.0%,1.4,22.5%,,,0.1,14.6%,12.8,22.1%,3.8,22.7%,15.1,26.4%,,,,,,,,
"O-Methyl-N,N'-diisopropylisourea ",Plasma,0.0,0.0%,,,0.0,0.0%,0.0,0.0%,,,0.0,0.0%,0.0,0.0%,0.0,8.8%,0.0,9.0%,,,,,,,,
Octan-2-yl palmitate,Plasma,654.1,86.2%,,,401.8,78.7%,611.4,84.4%,,,461.4,81.1%,204.5,39.6%,1.0,20.0%,108.0,39.9%,,,,,,,,
"Octane, 1-propoxy-",Plasma,964.6,91.4%,,,955.7,93.9%,897.5,90.5%,,,583.3,85.8%,0.0,0.0%,0.0,8.8%,0.0,9.0%,,,,,,,,
Octanoic acid,Plasma,392.4,77.0%,,,77.4,47.0%,283.2,70.1%,,,99.1,48.3%,1247.4,79.1%,1285.0,86.5%,1068.4,82.9%,,,,,,,,
Octocrylene,Plasma,751.0,88.0%,,,88.1,48.2%,607.5,84.3%,,,176.8,57.8%,801.4,69.5%,394.1,62.5%,321.5,54.7%,,,,,,,,
Octopamine,Plasma,687.2,86.8%,,,195.9,62.2%,479.8,80.1%,,,110.7,50.0%,638.5,63.4%,649.4,72.0%,460.3,64.6%,,,,,,,,
Ornithine,Plasma,47.9,44.7%,,,16.7,30.8%,178.0,59.1%,,,53.3,40.0%,2637.9,93.6%,1611.4,90.7%,1796.2,91.7%,,,,,,,,
Oxalic acid,Plasma,101.0,53.2%,,,9.4,26.8%,290.4,70.7%,,,12.1,27.4%,30.7,25.2%,24.7,30.2%,119.6,41.1%,,,,,,,,
p-Hydroxydiisopropylbenzene,Plasma,38.1,41.7%,,,8.8,26.2%,39.4,41.5%,,,16.8,30.4%,554.8,59.8%,252.9,53.2%,248.3,50.6%,,,,,,,,
p-Toluic acid,Plasma,266.2,70.7%,,,17.3,30.9%,326.4,72.7%,,,53.0,39.9%,1624.4,85.3%,1055.0,82.8%,1045.6,82.6%,,,,,,,,
Palmitelaidic acid,Plasma,5.7,27.8%,,,29.1,35.3%,16.2,34.1%,,,24.4,33.6%,8.1,20.2%,8.3,24.9%,27.8,29.7%,,,,,,,,
Palmitic Acid,Plasma,126.5,55.6%,,,21.1,32.7%,44.2,42.6%,,,12.0,27.3%,0.0,0.0%,0.0,8.8%,0.0,9.0%,,,,,,,,
