ID,101,100,102,896,897,T0.5,T0.6,T0.7,T0.8,UNK12
ENSMUSG00000024277-S,,,,8.444298712452293,8.526768485399913,8.577552273572605,8.335484894383384,8.524120298763671,8.554081208348643,8.278478683004215
ENSMUSG00000024346-S,,,,6.98475060212173,6.908563867519808,7.281901846530733,7.0130408958351875,7.342837708011048,7.356439301023614,7.21774762029843
ENSMUSG00000024349-S,,,,3.0201464606670347,3.0983517460910273,3.298004348180618,4.494407762074647,2.625509064456788,1.8420916757217696,3.3032253887584098
ENSMUSG00000024424-S,,,,3.9283702031886953,4.01156674029161,4.305643998496876,4.687668720504145,2.625509064456788,4.494679407108428,4.9340760131788075
ENSMUSG00000024426-S,,,,5.632328685628324,6.007909237056302,5.695001573053586,5.3136732009422945,5.404908680090168,5.544532934760537,5.734479516496432
ENSMUSG00000024436-S,,,,1.127908297400936,0.96017781974354,1.6820721526231242,2.6746796934933665,1.0244644241439549,2.625408260291476,0.9896395548137256
ENSMUSG00000024457-S,,,,4.880195605043884,4.876098952759604,3.94089528681725,4.100549486834081,4.293934962094727,3.9680910132919567,4.150292392721807
ENSMUSG00000024556-S,,,,5.66640142861484,5.380543705089425,4.222733565229572,6.036055601214968,5.295192236250544,4.7470084774202475,5.372020230764082
ENSMUSG00000024563-S,,,,3.39002549525068,4.876098952759604,4.722585105951905,4.349499012537491,5.332699165065053,5.076690137323771,3.151454677338699
ENSMUSG00000024583-S,,,,6.432124145872649,6.47469756354118,6.551103392554991,6.480806310168945,6.632986296044445,6.4600585978304865,6.487228971970636
ENSMUSG00000024598-S,,,,3.216907381183005,1.5316181908280644,1.0734381410836893,0.0,2.0365428043664457,1.8420916757217696,2.305315480701963
ENSMUSG00000024614-S,,,,6.391959440402942,6.412001064403826,6.311347304233867,6.4094846537696055,6.720478383619671,6.247425214658924,6.608772354246259
ENSMUSG00000024647-S,,,,5.192292689724378,4.7295441425461515,5.922195443725697,3.557034900345428,5.748042750713369,6.528994384255339,4.150292392721807
ENSMUSG00000024683-S,,,,6.451794814887973,6.346455629505572,6.118431150953008,5.805464973333747,6.539843745101346,6.180436013749005,6.169315637342454
ENSMUSG00000024764-S,,,,5.66640142861484,4.780068108102916,5.349079761385718,5.496869708091795,5.662256661610338,5.0393709389050985,5.337266972364158
