node1,node2,layer1,layer2
"2-Butenoic acid, 2-hydroxy-",Dodecanamide,1,2
"2',2,3,6'-Tetramethoxychalcone",Dodecanamide,1,2
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)","2,5-Di-tert-butyl-4-hydroxyphenol",1,1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",3-Methyl-2-furoic acid,1,1
"2,3,4-Trihydroxybutyric acid",2-Ethylacetoacetate,1,1
"2,3,4-Trihydroxybutyric acid","3-Hydroxy-2,3-dihydromaltol",1,1
"2,3,4-Trihydroxybutyric acid","Erythrono-1,4-lactone",1,1
"2,3,4-Trihydroxybutyric acid",Ribonic acid,1,1
2-Ethylacetoacetate,beta-D-(-)-Ribopyranose,1,1
2-Ethylacetoacetate,"Erythrono-1,4-lactone",1,1
2-Ethylacetoacetate,Tricine,1,1
"Erythrono-1,4-lactone",beta-D-(-)-Ribopyranose,1,1
"Erythrono-1,4-lactone",Syringaldehyde,1,1
4-Pyridinol,"2-Allyl-1,4-dimethoxybenzene ",1,1
4-Pyridinol,9-Octadecenoic acid,1,1
Monolaurin,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside,1,2
Monolaurin,"Xylonic acid, delta-lactone",1,1
"2,5-Dimethoxyphenol","2-Allyl-1,4-dimethoxybenzene ",1,1
"2,5-Dimethoxyphenol","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",1,2
"2,5-Dimethoxyphenol",Syringaldehyde,1,1
"2-Allyl-1,4-dimethoxybenzene ",3-Hexenedioic acid,1,1
"2-Allyl-1,4-dimethoxybenzene ",Syringaldehyde,1,1
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino",Syringaldehyde,2,1
Syringaldehyde,3-Hexenedioic acid,1,1
Syringaldehyde,beta-D-(-)-Ribopyranose,1,1
Syringaldehyde,"Gluconolactone (3R,4S,5R,6R)",1,1
L-Glutamic acid,L-5-Oxoproline,1,1
L-Glutamic acid,Syringic acid,1,2
Syringic acid,D-Fructose,2,1
Syringic acid,L-5-Oxoproline,2,1
3-Hexenedioic acid,beta-Arabinopyranose,1,1
3-Hexenedioic acid,L-5-Oxoproline,1,1
"Pentanoic acid, 4-methyl-2-oxo-",2-Aminoadipic acid,3,4
2-Aminobutanoic acid,4-Coumaric acid,1,2
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Cyclohexanecarboxylic acid,1,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Methyl stearate,1,2
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Nonadecanoic acid,1,2
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","Propanoic acid, 2-hydroxy-3-phosphate-",1,2
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Tetrahydrogeranyl formate,1,1
Cyclohexanecarboxylic acid,4-Methyl-5-thiazoleethanol,1,1
Cyclohexanecarboxylic acid,Nonanoic acid,1,2
Methyl stearate,6-Hydroxyhexanoic acid,2,1
Methyl stearate,Tetrahydrogeranyl formate,2,1
Nonadecanoic acid,Arachidic acid,2,2
Nonadecanoic acid,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",2,2
Nonadecanoic acid,"Hexadecanoic acid, methyl ester",2,2
Glycerol tricaprylate,"5,10-Diethoxy-2,3,7,8-tetrahydro-1H,6H-dipyrrolo[1,2-a:1',2'-d]pyrazine",2,3
Glycerol tricaprylate,D-Glucose,2,1
Glycerol tricaprylate,Glycerol,2,3
Glycerol tricaprylate,Picolinic acid,2,1
"Hexadecanoic acid, ethyl ester",Heptadecanoic acid,2,2
"Hexadecanoic acid, ethyl ester","Hexadecanoic acid, methyl ester",2,2
2'-Desoxyuridine,Thymidine,1,1
Serine,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1,1
Serine,L-Isoleucine,1,1
Serine,L-Leucine,1,1
Serine,Phenylalanine,1,1
2-tert-Butyl-4-ethylphenol ,Lignoceric acid,2,1
Propanedioic acid,Campesterol,2,1
Tyrosine,L-Isoleucine,1,1
Tyrosine,L-Threonine,1,1
Tyrosine,"L-Valinamide, N(2),N(2)-dimethyl",1,2
Tyrosine,Phenylalanine,1,1
2-Palmitoylglycerol,9-Octadecen-1-ol,2,2
9-Octadecen-1-ol,Aconitic acid,2,1
2-Pentenedioic acid,4-Methoxyphenol,3,4
2-Piperidinone,Butanedioic acid,1,1
2-Piperidinone,"Thymine, 1,3-dimethyl-6-hydroxymethyl",1,2
Lignoceric acid,D-(-)-Ribofuranose,1,1
3-Hydroxybutyric acid,Hexacosanoic acid,3,2
Hexacosanoic acid,"Azetidine, 1-acetyl-2-methyl",2,1
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione","Propane, 2-methyl",2,1
Isocitric acid lactone,L-Aspartic acid,2,1
Isocitric acid lactone,Norketamine,2,1
Phenylalanine,DL-Phenylalanine,1,1
Phenylalanine,L-Isoleucine,1,1
"Hexadecanoic acid, methyl ester",Arachidic acid,2,2
"Hexadecanoic acid, methyl ester",Nonanoic acid,2,2
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,Nonanoic acid,1,2
DL-Phenylalanine,L-Isoleucine,1,1
Acetoacetic acid,Ser-Leu,4,3
N-Acetyl glucosamine methoxime,Uridine,1,1
Palmitelaidic acid,Vanillin,2,1
"L-Valinamide, N(2),N(2)-dimethyl",N-Acetyl-L-phenylalanine,2,3
