Metabolite 1,Metabolite 2,Sign
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",3'-Hydroxyacetophenone,1.0
"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-",Hexanedioic acid,1.0
Nonanal,p-Hydroxydiisopropylbenzene,1.0
Desmosterol,phenoxyethanol,1.0
2-Heptenoic acid,Diphenyl ether,1.0
"2,4-Decadienal",Triethanolamine,1.0
Levulinic acid,Pimelic acid,1.0
1-Cyclopentylethanol,DL-Glyceraldehyde,1.0
3-Methyladenine,Indole-3-lactic acid,1.0
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,Methyl-3-methoxy-5-methyl benzoate,1.0
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,"3-Hydroxy-2,3-dihydromaltol",1.0
5-Hydroxytryptophan,Glycine,1.0
Campesterol,phenoxyethanol,1.0
3-Hydroxybutyric acid,"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-[(trimethylsilyl)oxy]-",1.0
Methyl aminoacetate,Ser-Leu,1.0
Glycolic acid,L-Proline,1.0
Methylmalonic monoamide,Tributyl acetylcitrate,1.0
(pm)-Phenylpropanolamine,Pipecolic acid,-1.0
1-Cyclopentylethanol,"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1.0
3-Indolepropionic acid,Indole-3-lactic acid,1.0
1-Octanol,"Propanetriol, 2-methyl-",1.0
2-Heptenoic acid,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
Neostigmine ,Tartronic acid,1.0
alpha-Linolenic acid,Benzeneacetic acid,1.0
L-Glutamic acid,Picolinic acid,1.0
4-Hydroxybenzeneacetic acid,alpha-Linolenic acid,1.0
9-Hexadecenoic acid,Levulinic acid,1.0
"Benzaldehyde, 2,5-dimethyl-",Ser-Leu,1.0
"Aziridine, 1-(2-buten-2-yl)-",N-(Trimethylsilyl)hexanamide,1.0
"2,3,4-Trihydroxybutyric acid tetrakis","2,5-Piperazinedione, 3-benzyl-6-isopropyl-",1.0
"4-Fluoroaniline, N-trimethylsilyl-",Phenol,1.0
"Benzene, 1,3-bis(1,1-dimethylethyl)-",Norketamine,1.0
1-Cyclopentylethanol,4-Hydroxybenzeneacetic acid,1.0
2-Pyrrolidinone,"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",1.0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Ser-Leu,1.0
alpha-Tocopherol,Indole-3-lactic acid,1.0
beta-Lyxopyranose,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",1.0
