Name,Tissue,"BiBC, Feces-Cortex, via Plasma","BiBC, Feces-Cortex, via Plasma (%ile)","BiBC, Feces-Cortex, via Plexus","BiBC, Feces-Cortex, via Plexus (%ile)","BiBC, Feces-Cortex, via Plasma + Plexus","BiBC, Feces-Cortex, via Plasma + Plexus (%ile)","BiBC, Feces-Striatum, via Plasma","BiBC, Feces-Striatum, via Plasma (%ile)","BiBC, Feces-Striatum, via Plexus","BiBC, Feces-Striatum, via Plexus (%ile)","BiBC, Feces-Striatum, via Plasma + Plexus","BiBC, Feces-Striatum, via Plasma + Plexus (%ile)","BiBC, Plasma-Plexus","BiBC, Plasma-Plexus (%ile)","BiBC, Plasma - Cortex","BiBC Percentile, Plasma - Cortex","BiBC, Plasma - Striatum","BiBC Percentile, Plasma - Striatum","BiBC, Choroid Plexus - Cortex","BiBC Percentile, Choroid Plexus - Cortex","BiBC, Choroid Plexus - Striatum","BiBC Percentile, Choroid Plexus - Striatum","BiBC, Choroid Plexus - Remaining Brain","BiBC Percentile, Choroid Plexus - Remaining Brain","BiBC, Choroid Plexus - Other Transcriptomics","BiBC Percentile, Choroid Plexus - Other Transcriptomics"
Vldlr,Striatum,,,,,,,,64.3,,57.4,,62.7,,,,,369.0,57.1%,1.5,15.9%,265.1,43.3%,12.1,20.0%,278.6,26.0%
Map4k2,Striatum,,,,,,,,,,,,,,,,,,,5.9,17.0%,11.0,17.8%,29.3,25.2%,46.3,14.5%
Stip1,Striatum,,,,,,,792.7,88.3,,79.8,,83.3,,,,,1092.7,83.4%,480.6,55.1%,2372.5,91.1%,254.9,50.3%,3108.0,75.9%
Sfr1,Striatum,,,,,,,,18.5,,18.4,,16.2,,,,,6.0,23.8%,222.2,42.6%,166.4,36.9%,286.8,51.9%,675.4,37.0%
Mob2,Striatum,,,,,,,,53.5,,40.6,,42.9,,,,,488.6,65.5%,1071.2,74.2%,1205.6,77.0%,932.3,80.0%,3209.1,76.6%
Erlin1,Striatum,,,,,,,707.4,86.8,,70.0,,78.1,,,,,1319.7,87.0%,647.1,60.0%,2544.9,92.4%,1454.9,90.1%,4646.9,85.4%
Sufu,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Gnl3l,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,1569.8,83.1%,854.4,68.0%,1167.0,85.4%,3591.2,79.3%
Myo1a,Striatum,,,,,,,,61.6,,54.8,,62.1,,,,,374.8,59.9%,94.3,32.4%,969.6,71.3%,62.2,32.0%,1126.1,48.2%
Dctn2,Striatum,,,,,,,,82.8,,83.3,,81.0,,,,,1522.9,89.4%,2490.9,91.6%,7155.4,99.6%,2251.7,96.3%,11897.9,98.6%
St8sia5,Striatum,,,,,,,2501.6,98.3,1948.4,97.7,1766.5,98.3,,,,,4575.5,99.0%,1644.5,83.9%,6039.8,99.1%,1252.1,87.5%,8936.4,96.5%
Caly,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,0.0,7.1%,0.0,6.8%,0.0,7.1%,0.0,6.1%
Adgra1,Striatum,,,,,,,,38.0,,37.7,,38.5,,,,,106.1,39.8%,475.2,54.8%,1210.8,77.0%,702.9,71.8%,2388.9,68.9%
Ric8a,Striatum,,,,,,,,33.5,,22.3,,22.3,,,,,5.6,23.7%,58.4,27.9%,117.0,33.4%,7.3,18.5%,182.7,22.5%
Cct8,Striatum,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,9.0%,20.0,21.1%,48.9,25.4%,1.7,16.1%,70.6,16.4%
Fbxl16,Striatum,,,,,,,8635.2,99.9,1956.0,97.7,3223.5,99.7,,,,,15711.3,100.0%,1658.5,84.0%,6967.3,99.5%,1563.0,91.6%,10188.8,97.5%
Faf2,Striatum,,,,,,,,73.3,,64.7,,75.9,,,,,601.9,70.9%,39.5,24.9%,271.3,43.5%,149.8,42.1%,460.6,31.5%
Aasdhppt,Striatum,,,,,,,,63.9,,55.7,,63.6,,,,,369.0,58.5%,332.7,49.4%,1091.5,74.3%,1421.5,89.6%,2845.7,73.5%
Gsta3,Striatum,,,,,,,,26.3,,20.5,,21.6,,,,,54.8,34.1%,2319.7,90.3%,922.5,70.0%,1216.3,86.5%,4458.5,84.6%
Lactb2,Striatum,,,,,,,,,,,,,,,,,,,19.4,21.0%,246.6,42.1%,18.6,22.2%,284.6,26.2%
