Gene,Metabolite,Sign
ENSMUSG00000026341,Acetohydroxamic acid,1
ENSMUSG00000026341,L-Serine,1
ENSMUSG00000026341,2-Ethylacetoacetate,1
ENSMUSG00000026341,3-Amino-2-piperidone,1
ENSMUSG00000026341,"5,8,11-Eicosatrienoic acid",1
ENSMUSG00000026341,Aconitic acid,1
ENSMUSG00000026341,"Arabinofuranose, 1,2,3,5-tetrakis",1
ENSMUSG00000026341,beta-D-(-)-Ribopyranose,1
ENSMUSG00000026341,"cis-4,5-Dihydroxy-o-dithiane",1
ENSMUSG00000026341,D-Xylose,1
ENSMUSG00000026341,Hymexazole,1
ENSMUSG00000026341,L-Fucose,1
ENSMUSG00000026341,L-Rhamnose,1
ENSMUSG00000042010,N-Methyl-alpha-aminoisobutyric acid,-1
ENSMUSG00000042010,4-hydroxycyclohexylacetate,-1
ENSMUSG00000042010,D-Fucitol,-1
ENSMUSG00000021431,L-(+)-Rhamnopyranose,-1
ENSMUSG00000047264,"Hexadecanoic acid, tetradecyl ester",-1
ENSMUSG00000036478,"Inosose-2, myo",1
ENSMUSG00000036478,Isocitric acid lactone,1
ENSMUSG00000036478,Xylazine,1
ENSMUSG00000039323,4-hydroxycyclohexylacetate,-1
ENSMUSG00000039323,D-Fucitol,-1
ENSMUSG00000055150,10-Heptadecenoic acid,1
ENSMUSG00000055150,"2,5-Dimethoxymandelic acid",1
ENSMUSG00000022463,Niacinamide,-1
ENSMUSG00000022463,2'-Desoxyuridine,-1
ENSMUSG00000022463,"2-Pentenedioic acid, 2-hydroxy-",-1
ENSMUSG00000022463,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
ENSMUSG00000022463,9H-Purin-6-ol,-1
ENSMUSG00000022463,Thymidine,-1
ENSMUSG00000023030,Levulinic acid,1
ENSMUSG00000023030,Octanoic acid,1
ENSMUSG00000026784,9-Octadecenoic acid,1
ENSMUSG00000036641,3-O-methyl-beta-D-Glucopyranose,-1
ENSMUSG00000036641,D-Ribose,1
ENSMUSG00000036641,L-Isoleucine,1
ENSMUSG00000036641,Picolinic acid,1
ENSMUSG00000072772,5-Oxohexanoic Acid,1
ENSMUSG00000072772,l-Leucyl-l-valine,1
ENSMUSG00000033487,"D-Erythro-Pentitol, 2-deoxy-",-1
ENSMUSG00000029550,Xanthine,-1
ENSMUSG00000029550,Pyridoxic acid,-1
ENSMUSG00000037664,2-Piperidinone,1
ENSMUSG00000037664,2-Pyrrolidinone,1
ENSMUSG00000037664,3-Pyridylcarbinol,1
ENSMUSG00000037664,beta-Alanine,1
ENSMUSG00000037664,beta-D-(-)-Ribopyranose,1
ENSMUSG00000037664,"cis-4,5-Dihydroxy-o-dithiane",1
ENSMUSG00000037664,DL-Phenylalanine,1
ENSMUSG00000037664,Isocitric acid lactone,1
ENSMUSG00000037664,Kojic acid,1
ENSMUSG00000037664,L-Isoleucine,1
ENSMUSG00000037664,L-Leucine,1
ENSMUSG00000037664,L-Threonine,1
ENSMUSG00000037664,L-Valine,1
ENSMUSG00000037664,Phenylalanine,1
ENSMUSG00000037664,Serine,1
ENSMUSG00000037664,Tyrosine,1
ENSMUSG00000037664,Urea,1
ENSMUSG00000037664,Vanillin,1
ENSMUSG00000002455,Argininosuccinic acid,1
ENSMUSG00000002455,11-Methyldodecanol,1
ENSMUSG00000002455,1-Octadecanol,1
ENSMUSG00000002455,Decanoic acid,1
ENSMUSG00000002455,"Hexadecanoic acid, ethyl ester",1
ENSMUSG00000002455,"Hexadecanoic acid, methyl ester",1
ENSMUSG00000002455,Isopropyl myristate,1
ENSMUSG00000002455,Nonadecanoic acid,1
ENSMUSG00000002455,Pentadecanoic acid,1
ENSMUSG00000002455,Phenol,1
ENSMUSG00000002455,Phthalazin-1-one ,1
