Gene,ctx_direction,Metabolite,cpx_direction,Sign,edge_direction
ENSMUSG00000032307-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000032307-B,1.0,Isosorbide,,+,
ENSMUSG00000032307-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000032308-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000032308-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000032308-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000032308-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000032308-B,-1.0,Tyr-Val,,-,
ENSMUSG00000032334-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000032334-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000032334-B,-1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000032334-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000032334-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000032334-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000032334-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000032346-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000032346-B,-1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000032346-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000032346-B,-1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000032346-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000032346-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000032387-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000032387-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000032387-B,-1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000032387-B,-1.0,Isosorbide,,+,
ENSMUSG00000032387-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000032387-B,-1.0,Synephrine,,+,
ENSMUSG00000032387-B,-1.0,Tyr-Val,,-,
ENSMUSG00000032481-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000032481-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000032481-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000032481-B,1.0,Isosorbide,,+,
ENSMUSG00000032481-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000032481-B,1.0,L-Glutamic acid,,+,
ENSMUSG00000032481-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000032526-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000032526-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000032526-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000032526-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,+,
ENSMUSG00000032526-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000032526-B,1.0,Glycine,-1.0,-,-1.0
ENSMUSG00000032526-B,1.0,L-Glutamic acid,,-,
ENSMUSG00000032526-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000032691-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000032691-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000032691-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000032691-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000032691-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000032691-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000032691-B,1.0,Prostaglandin,,-,
ENSMUSG00000032691-B,1.0,Tyr-Val,,+,
ENSMUSG00000032727-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000032727-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000032727-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000032727-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000032727-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000032727-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000032727-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000032727-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000032727-B,1.0,Tyr-Val,,+,
ENSMUSG00000032737-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000032737-B,-1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000032737-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000032737-B,-1.0,Isosorbide,,+,
ENSMUSG00000032737-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000032737-B,-1.0,Luciferin,,+,
ENSMUSG00000032737-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000032737-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000032816-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000032816-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000032816-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000032816-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000032816-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000032878-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000032878-B,-1.0,2-Methyl-3-pentanol,-1.0,-,1.0
ENSMUSG00000032878-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000032878-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000032878-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000032878-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000033106-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000033106-B,1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,+,
ENSMUSG00000033106-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000033106-B,1.0,Sulindac,,-,
ENSMUSG00000033106-B,1.0,Supraene,1.0,-,1.0
ENSMUSG00000033106-B,1.0,Tyr-Val,,+,
ENSMUSG00000033356-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000033356-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000033356-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000033356-B,-1.0,Isosorbide,,+,
ENSMUSG00000033356-B,-1.0,L-(+)-Threose,,+,
ENSMUSG00000033356-B,-1.0,Tyr-Val,,-,
ENSMUSG00000033411-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000033411-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000033411-B,1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000033411-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000033411-B,1.0,"Benzene, 1-ethyl-3,5-dimethyl",,-,
ENSMUSG00000033411-B,1.0,Isosorbide,,+,
ENSMUSG00000033411-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000033420-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000033420-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000033420-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000033420-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000033420-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000033420-B,1.0,L-Glutamic acid,,-,
ENSMUSG00000033427-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000033427-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000033427-B,1.0,Glabridin,,-,
ENSMUSG00000033427-B,1.0,Isosorbide,,-,
ENSMUSG00000033427-B,1.0,L-Ornithine,,+,
ENSMUSG00000033427-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000033554-B,1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000033554-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000033554-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000033554-B,1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000033554-B,1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000033554-B,1.0,Isosorbide,,-,
ENSMUSG00000033554-B,1.0,Luciferin,,-,
ENSMUSG00000033554-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000033554-B,1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000033581-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000033581-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000033581-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000033581-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000033684-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000033684-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000033684-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000033684-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000033684-B,1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000033684-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000033684-B,1.0,Isosorbide,,-,
ENSMUSG00000033740-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000033740-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000033740-B,1.0,Isosorbide,,+,
ENSMUSG00000033740-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000033740-B,1.0,Urea,-1.0,-,-1.0
ENSMUSG00000033906-B,-1.0,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",1.0,-,-1.0
ENSMUSG00000033906-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000033906-B,-1.0,"3,3-Dimethylacrylic acid",,+,
ENSMUSG00000033906-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000033906-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000033906-B,-1.0,Sulindac,,-,
ENSMUSG00000033938-B,1.0,"2-Allyl-1,4-dimethoxybenzene",-1.0,-,-1.0
ENSMUSG00000033938-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000033938-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000033938-B,1.0,Glycolic acid,-1.0,-,-1.0
ENSMUSG00000033938-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000033938-B,1.0,Octadecanoic acid,,-,
ENSMUSG00000033938-B,1.0,"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",-1.0,-,-1.0
ENSMUSG00000033938-B,1.0,Tyr-Val,,+,
ENSMUSG00000034006-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000034006-B,1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000034006-B,1.0,Cycloheptanol,-1.0,-,-1.0
ENSMUSG00000034006-B,1.0,Isosorbide,,+,
ENSMUSG00000034118-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000034118-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000034118-B,-1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000034118-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000034118-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000034118-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000034126-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000034126-B,-1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000034126-B,-1.0,"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",-1.0,+,1.0
ENSMUSG00000034126-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000034126-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000034460-B,-1.0,"2,4-Dimethoxybenzaldoxime",,-,
ENSMUSG00000034460-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000034460-B,-1.0,"2-Butene-1,4-diol",,-,
ENSMUSG00000034460-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000034460-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000034460-B,-1.0,Diclofenac,,+,
ENSMUSG00000034460-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000034460-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000034480-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000034480-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000034480-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000034480-B,1.0,L-Lysine,1.0,+,1.0
ENSMUSG00000034480-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000034486-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000034486-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000034486-B,-1.0,2-Norbornanemethanol,,+,
ENSMUSG00000034486-B,-1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,+,
ENSMUSG00000034486-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000034486-B,-1.0,Isosorbide,,+,
ENSMUSG00000034486-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000034486-B,-1.0,Octadecanoic acid,,+,
ENSMUSG00000034486-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-,
ENSMUSG00000034509-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000034509-B,-1.0,"2-Methylcyclohexanol, (Z)",1.0,-,-1.0
ENSMUSG00000034509-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000034509-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000034509-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000034509-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000034509-B,-1.0,Glycine,-1.0,-,1.0
ENSMUSG00000034509-B,-1.0,Isosorbide,,-,
ENSMUSG00000034509-B,-1.0,L-(+)-Threose,,-,
ENSMUSG00000034509-B,-1.0,L-Ornithine,,+,
ENSMUSG00000034509-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000034509-B,-1.0,Octadecanoic acid,,-,
ENSMUSG00000034520-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000034520-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000034520-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000034520-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000034520-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000034575-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,-,
ENSMUSG00000034575-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000034575-B,1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000034575-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000034575-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000034575-B,1.0,L-Glutamic acid,,-,
ENSMUSG00000034706-B,-1.0,"2,4-Dimethoxybenzaldoxime",,+,
ENSMUSG00000034706-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000034706-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000034706-B,-1.0,Luciferin,,-,
ENSMUSG00000034706-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000034706-B,-1.0,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,+,
ENSMUSG00000034762-B,-1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000034762-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000034762-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000034762-B,-1.0,Isosorbide,,-,
ENSMUSG00000034762-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000034762-B,-1.0,Propanoic acid,,-,
ENSMUSG00000034762-B,-1.0,Tyr-Val,,+,
ENSMUSG00000034892-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000034892-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000034892-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000034892-B,1.0,Chlorobenzilate ,,-,
ENSMUSG00000034892-B,1.0,Tyr-Val,,+,
ENSMUSG00000035168-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000035168-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000035168-B,-1.0,7-Hydroxy-4-(methoxymethyl)coumarin,,-,
ENSMUSG00000035168-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000035168-B,-1.0,L-Val-L-Leu,,-,
ENSMUSG00000035168-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000035168-B,-1.0,Sulindac,,-,
ENSMUSG00000035234-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000035234-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000035234-B,1.0,6-Nitroveratryl alcohol,,-,
ENSMUSG00000035234-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000035234-B,1.0,Isosorbide,,-,
ENSMUSG00000035234-B,1.0,Tyr-Val,,+,
ENSMUSG00000035394-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000035394-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000035394-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000035394-B,1.0,"4,5-Dihydro-1H-pyrazole",,-,
ENSMUSG00000035394-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000035394-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000035441-B,-1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000035441-B,-1.0,"13-Docosenamide, (Z)",,+,
ENSMUSG00000035441-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000035441-B,-1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000035441-B,-1.0,Isosorbide,,-,
ENSMUSG00000035569-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000035569-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000035569-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000035569-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000035569-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000035671-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000035671-B,1.0,L-(+)-Threose,,+,
ENSMUSG00000035671-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000035671-B,1.0,Tyr-Val,,+,
ENSMUSG00000035835-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000035835-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000035835-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000035835-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000035835-B,-1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000035835-B,-1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000035941-B,1.0,"1,2-Bis(trimethylsiloxy)cyclohexene",,+,
ENSMUSG00000035941-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000035941-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000035941-B,1.0,"3,4-Dihydroxybenzaldehyde",,-,
ENSMUSG00000035941-B,1.0,Benzeneacetic acid,,+,
ENSMUSG00000035941-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000035948-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000035948-B,1.0,"3,3-Dimethylacrylic acid",,-,
ENSMUSG00000035948-B,1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,+,
ENSMUSG00000035948-B,1.0,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-,
ENSMUSG00000035948-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,+,
ENSMUSG00000035948-B,1.0,Tyr-Val,,+,
ENSMUSG00000035963-B,-1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000035963-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000035963-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000035963-B,-1.0,Oleic Acid,,+,
ENSMUSG00000035969-B,-1.0,2-Norbornanemethanol,,-,
ENSMUSG00000035969-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000035969-B,-1.0,"4,5-Dihydro-1H-pyrazole",,+,
ENSMUSG00000035969-B,-1.0,Chlorobenzilate ,,-,
ENSMUSG00000035969-B,-1.0,L-Val-L-Leu,,+,
ENSMUSG00000035969-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000035983-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,-,
ENSMUSG00000035983-B,1.0,"13-Docosenamide, (Z)",,-,
ENSMUSG00000035983-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000035983-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000035983-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000035983-B,1.0,Benzeneacetic acid,,-,
ENSMUSG00000035983-B,1.0,cis-2-Decenoic acid,,+,
ENSMUSG00000035983-B,1.0,Luciferin,,+,
ENSMUSG00000035983-B,1.0,L-Val-L-Leu,,-,
ENSMUSG00000035983-B,1.0,Octadecanoic acid,,+,
ENSMUSG00000036112-B,1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000036112-B,1.0,2-Norbornanemethanol,,-,
ENSMUSG00000036112-B,1.0,cis-2-Decenoic acid,,-,
ENSMUSG00000036112-B,1.0,Isosorbide,,+,
ENSMUSG00000036112-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000036112-B,1.0,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,-,
ENSMUSG00000036112-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000036112-B,1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-,
ENSMUSG00000036246-B,1.0,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,+,
ENSMUSG00000036246-B,1.0,2-Aminoquinolin-8-ol,,-,
ENSMUSG00000036246-B,1.0,2-Norbornanemethanol,,+,
ENSMUSG00000036246-B,1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000036246-B,1.0,L-(+)-Threose,,-,
ENSMUSG00000036246-B,1.0,L-Val-L-Leu,,+,
ENSMUSG00000036246-B,1.0,Tyr-Val,,-,
ENSMUSG00000036356-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000036356-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
ENSMUSG00000036356-B,-1.0,"3,4-Dihydroxybenzaldehyde",,+,
ENSMUSG00000036356-B,-1.0,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-,
ENSMUSG00000036356-B,-1.0,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,+,
ENSMUSG00000036356-B,-1.0,Tyr-Val,,-,
ENSMUSG00000036712-B,-1.0,2-Aminoquinolin-8-ol,,+,
ENSMUSG00000036712-B,-1.0,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",,-,
ENSMUSG00000036712-B,-1.0,"2-Methylcyclohexanol, (Z)",1.0,-,-1.0
ENSMUSG00000036712-B,-1.0,3-(4-Methoxyphenyl)coumarin,,+,
