Gene,Metabolite,Pooled r,Pooled p,Pooled FDR
ENSMUSG00000002455,phenoxyethanol,0.024509804,0.9256077760199252,0.9473276158776542
ENSMUSG00000002455,Phloroglucinol,0.3199286353466923,0.2450494939800136,0.4669707766931295
ENSMUSG00000002660,Pimelic acid,-0.189285714,0.4992630332385452,0.6553131147084313
ENSMUSG00000002660,"Quinolin-4-one, 1-[2-(3,4-dimethoxyphenyl)ethyl]-octahydro-",0.6176470588235294,0.008242329,0.1551903535366335
ENSMUSG00000002748,"Arabinofuranose, 1,2,3,5-tetrakis-O-",-0.338235294,0.2000655587786896,0.4277356280766438
ENSMUSG00000002748,Neostigmine ,0.026470588,0.9224805705017288,0.9451585921750688
ENSMUSG00000002748,Palmitic Acid,-0.25245098,0.3282942295650179,0.5325398573449388
ENSMUSG00000002844,2-Heptenoic acid,-0.428571429,0.143971435,0.3765557422248566
ENSMUSG00000002844,"2,2-Diallylpyrrolidine",0.4328029451992949,0.183649498,0.4134137961902963
ENSMUSG00000002844,"2,4-Decadienal",-0.073529412,0.779127287,0.8467946953284367
ENSMUSG00000002844,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",-0.225767041,0.38359756,0.5732109397837452
ENSMUSG00000002844,"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",-0.4629135,0.082274281,0.3067129814176129
ENSMUSG00000002844,4-Hydroxybenzaldehyde,-0.165542643,0.5254511998225158,0.6743183576456739
ENSMUSG00000002844,"6,8-Dioxapentadecane",-0.063781487,0.8522059712863589,0.8973479660549816
ENSMUSG00000002844,"Benzoic acid, methyl ester",-0.272727273,0.4171414371425312,0.5962955008145621
ENSMUSG00000002844,"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-",-0.359509473,0.1563949344334795,0.3891020816543183
ENSMUSG00000002844,Hippuric acid,-0.018393627,0.9441398799372132,0.959261774
ENSMUSG00000002844,L-Glutamic acid,-0.073619687,0.7788624369945848,0.8467946953284367
ENSMUSG00000002844,L-Lysine,-0.395691242,0.1443086134890705,0.3771236278528657
ENSMUSG00000002844,L-Ornithine,-0.082474316,0.7613913935992997,0.8347038761607194
ENSMUSG00000002844,"L-Tryptophan, N-acetyl-1",-0.402941176,0.121745763,0.353720993
ENSMUSG00000002844,Picolinic acid,-0.196078431,0.4507049808818775,0.6201831321478924
ENSMUSG00000002844,"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",-0.120098039,0.6461426985863066,0.7560561900506964
ENSMUSG00000002844,Trimethylsilyl oct-2-enoate ,-0.335294118,0.2042545808455151,0.4319194862175665
ENSMUSG00000002844,Urea,-0.216083853,0.4048546645525425,0.5871851262293895
ENSMUSG00000003099,"2,2-Diallylpyrrolidine",-0.031890743,0.9258397000680176,0.947430107
ENSMUSG00000003099,Desmosterol,-0.180257545,0.4887399736920764,0.6476379871522675
ENSMUSG00000003099,Lactic Acid,-0.085714286,0.7707850311186757,0.8416510505856418
ENSMUSG00000003099,p-Toluic acid,-0.288858595,0.3384799505620154,0.5404453341517285
ENSMUSG00000003099,Propylamine,-0.057193946,0.8395582649718902,0.8883456059515651
ENSMUSG00000003184,2-Pyrrolidinone,-0.299386728,0.2430488647867376,0.4660671970443309
ENSMUSG00000003184,"9H-Fluorene, 9-methylene-",-0.237762238,0.4568008526399232,0.6245502877805302
ENSMUSG00000003184,Allylescaline ,-0.229307217,0.3759819275940886,0.5675715285633808
ENSMUSG00000003184,DL-Phenylalanine,0.148375258,0.5698109379346723,0.7049463566911414
