Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR,"('Gene', 'Metabolite')"
ENSMUSG00000035934,1-Cyclopentylethanol,-0.257142857,0.6227871720116618,6,-0.5,0.6666666666666667,3,-0.558581227,0.192452532,7,-0.57395159,0.020078216,16,TRUE,-,0.1989873014434667,"('ENSMUSG00000035934', '1-Cyclopentylethanol')"
ENSMUSG00000035934,4-Hydroxybenzaldehyde,-0.142857143,0.7871720116618075,6,-1,0,4,-0.126131245,0.7875721594074739,7,-0.521152765,0.031934355,17,TRUE,-,0.2271163552592752,"('ENSMUSG00000035934', '4-Hydroxybenzaldehyde')"
ENSMUSG00000035934,5-Hydroxyquinoline,0.2,0.704,6,1,0,3,0.3188740696088466,0.5379005604702051,6,0.2198392298751013,0.4311223753291394,15,TRUE,+,0.6062557386209538,"('ENSMUSG00000035934', '5-Hydroxyquinoline')"
ENSMUSG00000035934,Allylescaline ,-0.257142857,0.6227871720116618,6,-0.2,0.8,4,-0.450468731,0.3104293018513229,7,-0.084610684,0.7467969010170166,17,TRUE,-,0.8247218172903111,"('ENSMUSG00000035934', 'Allylescaline ')"
ENSMUSG00000035934,"Benzene, 3-cyclohexen-1-yl-",0.4999999999999999,0.3910022189557705,5,1,0,3,0.1071428571428571,0.8191508555699912,7,0.1321428571428571,0.6387442188840665,15,TRUE,+,0.7507273435033849,"('ENSMUSG00000035934', 'Benzene, 3-cyclohexen-1-yl-')"
ENSMUSG00000035934,Glucose,-0.028571429,0.9571545189504372,6,-1,0,3,-0.428571429,0.337368311,7,-0.229411765,0.3927204908816197,16,TRUE,-,0.5785455105587086,"('ENSMUSG00000035934', 'Glucose')"
ENSMUSG00000035934,L-Aspartic acid,-0.2,0.704,6,-0.8,0.2,4,-0.666693722,0.1019204602461822,7,-0.006131209,0.9813678259823856,17,TRUE,-,0.9856407027305918,"('ENSMUSG00000035934', 'L-Aspartic acid')"
ENSMUSG00000035934,Trisaminol,-0.028571429,0.9571545189504372,6,-0.8,0.2,4,-0.071428571,0.8790481931481541,7,-0.06127451,0.8152828502754565,17,TRUE,-,0.8715747467033976,"('ENSMUSG00000035934', 'Trisaminol')"
ENSMUSG00000035934,Urea,-0.088273483,0.8679336982351336,6,-1,0,4,-0.288299988,0.5306506599466652,7,-0.061387458,0.8149478887937286,17,TRUE,-,0.8715747467033976,"('ENSMUSG00000035934', 'Urea')"
ENSMUSG00000035941,"9,12-Octadecadienoic acid",-0.5,0.6666666666666667,3,-0.4,0.6,4,-0.8,0.2,4,-0.090909091,0.7903727377532903,11,TRUE,-,0.8550091173131146,"('ENSMUSG00000035941', '9,12-Octadecadienoic acid')"
ENSMUSG00000035941,"Cholesta-3,5-dien-7-one",-0.5,0.6666666666666667,3,-1,0,3,-0.7,0.1881204043741872,5,-0.009090909,0.9788365001441937,11,TRUE,-,0.9836709363111532,"('ENSMUSG00000035941', 'Cholesta-3,5-dien-7-one')"
ENSMUSG00000035941,Trimethylsilyl oct-2-enoate ,-0.542857143,0.2657026239067055,6,-0.5,0.6666666666666667,3,-0.214285714,0.6445115810207203,7,-0.164705882,0.5421481352010777,16,TRUE,-,0.6855681859765973,"('ENSMUSG00000035941', 'Trimethylsilyl oct-2-enoate ')"
ENSMUSG00000036087, 5-Hydroxyhexanoic acid,-0.057977104,0.9131317851623264,6,-0.5,0.6666666666666667,3,-0.6,0.2847569798652937,5,-0.116611732,0.691367109,14,TRUE,-,0.7868400504836529,"('ENSMUSG00000036087', ' 5-Hydroxyhexanoic acid')"
ENSMUSG00000036087,"2',2,3,6'-Tetramethoxychalcone",-0.051298918,0.934712848,5,-1,0,4,-0.057977104,0.9131317851623264,6,-0.261181098,0.3470856246681337,15,TRUE,-,0.5466708687791911,"('ENSMUSG00000036087', ""2',2,3,6'-Tetramethoxychalcone"")"
ENSMUSG00000036087,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",0.085714286,0.8717434402332361,6,0.1999999999999999,0.8,4,0.3455116595403213,0.4478162152469316,7,0.1680982860464069,0.5189860439539886,17,TRUE,+,0.6696852360979401,"('ENSMUSG00000036087', ""3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-"")"
