Gene,Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000000305-P,ENSMUSG00000000305,"Pyrazine, 3,6-dimethyl-2,5-bis(trimethylsilyloxy)-",0.3999999999999999,0.6,4,0.5,0.6666666666666667,3,0.1,0.8728885715695383,5,0.4965034965034965,0.1006026318322548,12,TRUE,+,0.3292499349226388
ENSMUSG00000000305-P,ENSMUSG00000000305,Pyroglutamic acid,0.5,0.6666666666666667,3,0.7999999999999999,0.2,4,0.7,0.1881204043741872,5,0.1331000289842858,0.6800638459197366,12,TRUE,+,0.7789303658017285
ENSMUSG00000000305-P,ENSMUSG00000000305,"Spiro[cyclopenta[d]-1,3,2-dioxaborin-4(5H),1'-cyclopentane], 2-ethyl-6,7-dihydro-",0.1428571428571428,0.7871720116618075,6,0.5,0.6666666666666667,3,0.1261312447773782,0.7875721594074739,7,0.4856513456068396,0.056508862,16,TRUE,+,0.2711788210224509
ENSMUSG00000000305-P,ENSMUSG00000000305,"Stigmast-5-ene, 3beta-",-0.257142857,0.6227871720116618,6,-1,0,4,-0.928571429,0.002519472,7,-0.383813683,0.1282810359888618,17,TRUE,-,0.361127848
ENSMUSG00000000305-P,ENSMUSG00000000305,Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,-0.257142857,0.6227871720116618,6,-1,0,3,-0.428571429,0.337368311,7,-0.29580582,0.2659791437914059,16,TRUE,-,0.4847590141366438
ENSMUSG00000001014-P,ENSMUSG00000001014,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",0.4928053803045811,0.3206325828658273,6,0.2108185106778919,0.7891814893221081,4,0.7724758906336857,0.041775841,7,0.595379373,0.011683586,17,TRUE,+,0.170322131
ENSMUSG00000001014-P,ENSMUSG00000001014,(CH3)2C=NC2H558,0.2571428571428572,0.6227871720116618,6,0.2108185106778919,0.7891814893221081,4,0.3349469226516178,0.4627290357186038,7,0.3504751308402086,0.1678348656606413,17,TRUE,+,0.3985096474452261
ENSMUSG00000001014-P,ENSMUSG00000001014,"1-Butanamine, N,N-diethyl-",0.2319084142609793,0.658373571,6,0.7378647873726218,0.2621352126273781,4,0.300964633,0.5118887848136866,7,0.4452623513536528,0.073279911,17,TRUE,+,0.295515103
ENSMUSG00000001014-P,ENSMUSG00000001014,1-Cyclopentylethanol,0.2571428571428572,0.6227871720116618,6,0.5,0.6666666666666667,3,0.2683944357145461,0.5605917366256872,7,0.6082066162911873,0.012428006,16,TRUE,+,0.1739436990520891
ENSMUSG00000001014-P,ENSMUSG00000001014,1-Octanol,0.6571428571428573,0.1561749271137023,6,0.7378647873726218,0.2621352126273781,4,0.6982532518267538,0.1228394633733959,6,0.5466058266946683,0.02845869,16,TRUE,+,0.219174085
ENSMUSG00000001014-P,ENSMUSG00000001014,"1-Propanamine, N,N-diethyl- ",0.2,0.704,6,0.2108185106778919,0.7891814893221081,4,0.4213504858001922,0.3464609618698652,7,0.4538885399221943,0.067237477,17,TRUE,+,0.287523021
ENSMUSG00000001014-P,ENSMUSG00000001014,"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",0.6,0.2847569798652937,5,0.2108185106778919,0.7891814893221081,4,0.632455532,0.367544468,4,0.2599907604169276,0.3909746791725108,13,TRUE,+,0.5780090557902365
ENSMUSG00000001014-P,ENSMUSG00000001014,12-Oxooctadecanoate,0.3714285714285715,0.4684781341107871,6,0.5,0.6666666666666667,3,0.092406166,0.8617852751596028,6,0.4277254367326299,0.1117440879718479,15,TRUE,+,0.3428447985398377
ENSMUSG00000001014-P,ENSMUSG00000001014,2-Butenedioic acid,0.057977104,0.9131317851623264,6,0.316227766,0.683772234,4,0.1182165609358651,0.8007087300467118,7,0.3710199400726957,0.1426027680709913,17,TRUE,+,0.3754584194797635
ENSMUSG00000001014-P,ENSMUSG00000001014,2-Ethyl-3-hydroxypropionic acid,0.1428571428571428,0.7871720116618075,6,0.7378647873726218,0.2621352126273781,4,0.300964633,0.5118887848136866,7,0.3572624081740521,0.1591894084115647,17,TRUE,+,0.3909807163492145
ENSMUSG00000001014-P,ENSMUSG00000001014,2-Hexen-1-ol,-0.6,0.2847569798652937,5,-0.948683298,0.051316702,4,-0.258453901,0.5757414086962297,7,-0.528483291,0.035332019,16,TRUE,-,0.2338497187201244
ENSMUSG00000001014-P,ENSMUSG00000001014,2-Hydroxy-5-methoxybenzaldehyde,0.2029198624783569,0.6997979681570189,6,0.2108185106778919,0.7891814893221081,4,0.1576220812478201,0.7357240883178837,7,0.2261696894963692,0.3827271464630827,17,TRUE,+,0.5731009195623125
ENSMUSG00000001014-P,ENSMUSG00000001014,2-Hydroxybutyric acid,-0.086965655,0.8698803787001028,6,-0.5,0.6666666666666667,3,-0.670820393,0.215169943,5,-0.312782355,0.2762307179119804,14,TRUE,-,0.4922973668063357
ENSMUSG00000001014-P,ENSMUSG00000001014,2-Pyrrolidinone,-0.371428571,0.4684781341107871,6,-0.737864787,0.2621352126273781,4,-0.020064309,0.9659446272953888,7,-0.115697079,0.6583545931838891,17,TRUE,-,0.7645710702437767
ENSMUSG00000001014-P,ENSMUSG00000001014,"2,2-Diallylpyrrolidine",0.5,0.6666666666666667,3,0.8660254037844387,0.3333333333333332,3,0.8603090020146066,0.061343779,5,0.3179596808285686,0.3406536689320305,11,TRUE,+,0.5421254598396186
