Metabolite 1,Metabolite 2,Spearman Coefficient,p-value,Values Counted
ENSMUSG00000000093-B,"2-(Ethylamino)ethanol, N-acetyl",0.3551325434698349,0.25730073023750416,12
ENSMUSG00000000093-B,2-(Methylamino)ethanol,0.6140350877192983,0.03366742401276835,12
ENSMUSG00000000093-B,"2,2'-Bipyridine",0.7263157894736844,0.007471684989930396,12
ENSMUSG00000000093-B,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",0.45080209563511825,0.16405145669714175,11
ENSMUSG00000000093-B,"2,3-Dihydroxybutanoic acid",0.30125786715206027,0.43082315771331514,9
ENSMUSG00000000093-B,"2',3'-Di-O-acetyladenosine",0.504524979109513,0.2482031142645112,7
ENSMUSG00000000093-B,"2,4,4'-Trihydroxybenzophenone",0.469352733786692,0.12370632820811776,12
ENSMUSG00000000093-B,"2,4,6-Cycloheptatrien-1-one",0.16766767666785626,0.6914653516467358,8
ENSMUSG00000000093-B,"2,4-Dihydroxyacetophenone",nan,nan,0
ENSMUSG00000000093-B,"2,4-Dimethoxybenzaldoxime",0.5,0.6666666666666666,3
ENSMUSG00000000093-B,"2,4-Di-tert-butylphenol",0.39285714285714296,0.3833168704269725,7
ENSMUSG00000000093-B,"2,4-Imidazolidinedione, 5,5-dimethyl",0.3824561403508772,0.21983209741280443,12
ENSMUSG00000000093-B,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",-0.06666666666666665,0.8548130882487427,10
ENSMUSG00000000093-B,"2,5-Dimethoxybenzhydrazide",0.2369026647406667,0.4830654080776246,11
ENSMUSG00000000093-B,"2,5-Dimethoxybenzonitrile",0.5814369687208274,0.047373596171879875,12
ENSMUSG00000000093-B,"2,5-Dimethoxyphenol",0.21015794050150388,0.512085328993753,12
ENSMUSG00000000093-B,"2',5'-Dimethoxypropiophenone",0.26269742562687987,0.40942819487836374,12
ENSMUSG00000000093-B,"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",0.38095238095238104,0.3518125531175649,8
ENSMUSG00000000093-B,"2-Allyl-1,4-dimethoxybenzene",0.41754385964912283,0.17683856309105328,12
