Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"2,5-di-tert-Butyl-1,4-benzoquinone",ENSMUSG00000094002,False,False,False,0.0,,,
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",ENSMUSG00000094002,False,False,False,0.0,,,
"2,5-Di-tert-butylhydroquinone",ENSMUSG00000094002,False,False,False,0.0,,,
"2,5-Dimethoxy-4-methylamphetamine",ENSMUSG00000094002,False,False,False,0.0,,,
"2,5-Dimethoxybenzhydrazide",ENSMUSG00000094002,False,False,False,0.0,,,
"2,5-Dimethoxybenzonitrile",ENSMUSG00000094002,False,False,False,0.0,,,
"2,5-Dimethoxymandelic acid",ENSMUSG00000094002,False,False,False,0.0,,,
"2,5-Dimethoxyphenol",ENSMUSG00000094002,False,False,False,0.0,,,
"2,5-Dimethyl-1-aza-bicyclo[2.2.1]heptane",ENSMUSG00000094002,False,False,False,0.0,,,
"2,6-Dimethoxybenzylamine",ENSMUSG00000094002,False,False,False,0.0,,,
"2,6-Dimethoxyhydroquinone",ENSMUSG00000094002,False,False,False,0.0,,,
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",ENSMUSG00000094002,False,False,False,0.0,,,
"2',2,3,6'-Tetramethoxychalcone",ENSMUSG00000094002,False,False,False,0.0,,,
3-(2-Hydroxyethyl)imidazole-2-thione,ENSMUSG00000094002,False,False,False,0.0,,,
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",ENSMUSG00000094002,False,False,False,0.0,,,
3-Amino-2-piperidone,ENSMUSG00000094002,False,False,False,0.0,,,
3-Amino-5-morpholinomethyl-2-oxazolidinone,ENSMUSG00000094002,False,False,False,0.0,,,
3-Aminobenzoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"3-Buten-2-one, 3-trimethylsilyloxy-",ENSMUSG00000094002,False,False,False,0.0,,,
"3-Buten-2-one, 4-(4-methoxyphenyl)-",ENSMUSG00000094002,False,False,False,0.0,,,
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",ENSMUSG00000094002,False,False,False,0.0,,,
3-Ethylphenol,ENSMUSG00000094002,False,False,False,0.0,,,
3-Hexenedinitrile,ENSMUSG00000094002,False,False,False,0.0,,,
"3-Hydroxy-2,3-dihydromaltol",ENSMUSG00000094002,False,False,False,0.0,,,
3-Hydroxybutyric acid,ENSMUSG00000094002,False,False,False,0.0,,,
3-Hydroxyisovaleric acid,ENSMUSG00000094002,False,False,False,0.0,,,
3-Indolepropionic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"3-Methoxyamphetamine, 4-Trimethylsilyloxy, N,N-bis(Trimethylsilyloxy)-",ENSMUSG00000094002,False,False,False,0.0,,,
3-Methoxysalicylic acid,ENSMUSG00000094002,False,False,False,0.0,,,
"3-Methyl-1-(tetrahydropyrrolo[1,2-c]oxazol-3-ylidene)-butan-2-one",ENSMUSG00000094002,False,False,False,0.0,,,
3-Methyl-2-butanol,ENSMUSG00000094002,False,False,False,0.0,,,
"3-Methyl-2-butenoic acid, tridec-2-ynyl ester",ENSMUSG00000094002,False,False,False,0.0,,,
"3-Methylpiperazine-2,5-dione, (R)-",ENSMUSG00000094002,False,False,False,0.0,,,
3-Methylvaleric acid,ENSMUSG00000094002,False,False,False,0.0,,,
"3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-",ENSMUSG00000094002,False,False,False,0.0,,,
"3,4,5-Trihydroxypentanoic acid, tetrakis(trimethylsilyl)-",ENSMUSG00000094002,False,False,False,0.0,,,
"3,5-di-tert-Butyl-4-hydroxyacetophenone",ENSMUSG00000094002,False,False,False,0.0,,,
"3,5-Dimethyl-1,4-diallylpyrazole",ENSMUSG00000094002,False,False,False,0.0,,,
"3,5-Dimethylpyrazole",ENSMUSG00000094002,False,False,False,0.0,,,
3'-(Trimethylsilyl)oxy-beta-naphthoflavone,ENSMUSG00000094002,False,False,False,0.0,,,
3'-Hydroxyacetophenone,ENSMUSG00000094002,False,False,False,0.0,,,
"3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",ENSMUSG00000094002,False,False,False,0.0,,,
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",ENSMUSG00000094002,False,False,False,0.0,,,
4-(Methoxycarbonyl)phenol,ENSMUSG00000094002,False,False,False,0.0,,,
"4-(tert-Butylamino)-6-ethylamino-5H-1,3,5-triazin-2-one",ENSMUSG00000094002,False,False,False,0.0,,,
4-(Trimethylsilyoxy)-3-penten-2-one,ENSMUSG00000094002,False,False,False,0.0,,,
"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",ENSMUSG00000094002,False,False,False,0.0,,,
"4-Fluoroaniline, N-trimethylsilyl-",ENSMUSG00000094002,False,False,False,0.0,,,
4-Hydroxybenzaldehyde,ENSMUSG00000094002,False,False,False,0.0,,,
4-Hydroxybenzoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
4-Hydroxybutanoic acid,ENSMUSG00000094002,False,False,False,0.0,,,
4-Hydroxyphenyllactic acid,ENSMUSG00000094002,False,False,False,0.0,,,
4-Methoxyphenol,ENSMUSG00000094002,False,False,False,0.0,,,
"4-Methylethcathinone, N-acetyl-",ENSMUSG00000094002,False,False,False,0.0,,,
4-Methylvaleric acid,ENSMUSG00000094002,False,False,False,0.0,,,
4-Pyridinol,ENSMUSG00000094002,False,False,False,0.0,,,
5-(2-Aminopropyl)-2-methylphenol,ENSMUSG00000094002,False,False,False,0.0,,,
"5-Androsten-17alpha-methyl-3beta,17beta-diol",ENSMUSG00000094002,False,False,False,0.0,,,
"5-Cholesten-3beta, 7alpha-bis[(trimethylsilyl)oxy]-",ENSMUSG00000094002,False,False,False,0.0,,,
5-Hydroxy-L-tryptophan,ENSMUSG00000094002,False,False,False,0.0,,,
5-Hydroxyquinoline,ENSMUSG00000094002,False,False,False,0.0,,,
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol",ENSMUSG00000094002,False,False,False,0.0,,,
"6,7,4'-Trihydroxyisoflavone",ENSMUSG00000094002,False,False,False,0.0,,,
