Metabolite,Gene,AL Consistent,Matt consistent,Consistent differs,Matt,AL,Diff (Matt-AL),Abs Diff
"1-Octanol, 2-butyl-",ENSMUSG00000105729,False,False,False,0.0,,,
1-Octanol,ENSMUSG00000105729,False,False,False,0.0,,,
"1-Octene, 2-methyl-",ENSMUSG00000105729,False,False,False,0.0,,,
1-Phenethylamine,ENSMUSG00000105729,False,False,False,0.0,,,
"1-Phenyl-1,2-ethanediol",ENSMUSG00000105729,False,False,False,0.0,,,
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",ENSMUSG00000105729,False,False,False,0.0,,,
"1-Propanamine, N,N-diethyl-",ENSMUSG00000105729,False,False,False,0.0,,,
"1,1'-Biphenyl, 3,4-diethyl-",ENSMUSG00000105729,False,False,False,0.0,,,
"1,2-Benzenedicarboxylic acid",ENSMUSG00000105729,False,False,False,0.0,,,
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",ENSMUSG00000105729,False,False,False,0.0,,,
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",ENSMUSG00000105729,False,False,False,0.0,,,
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",ENSMUSG00000105729,False,False,False,0.0,,,
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",ENSMUSG00000105729,False,False,False,0.0,,,
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",ENSMUSG00000105729,False,False,False,0.0,,,
"1,3-Cyclohexanebis(methylamine)",ENSMUSG00000105729,False,False,False,0.0,,,
"1,3,5-Benzetriol",ENSMUSG00000105729,False,False,False,0.0,,,
"1,3,5-Trimethyl-1H-pyrazol-4-amine",ENSMUSG00000105729,False,False,False,0.0,,,
"1,4-Butanediol",ENSMUSG00000105729,False,False,False,0.0,,,
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl",ENSMUSG00000105729,False,False,False,0.0,,,
"1,4-Dioxaspiro[4.5]decane",ENSMUSG00000105729,False,False,False,0.0,,,
"1,5-Anhydroglucitol",ENSMUSG00000105729,False,False,False,0.0,,,
10-Heptadecenoic acid,ENSMUSG00000105729,False,False,False,0.0,,,
12-Hydroxyoctadecanoic acid,ENSMUSG00000105729,False,False,False,0.0,,,
12-Oxooctadecanoate,ENSMUSG00000105729,False,False,False,0.0,,,
13-Docosenamide,ENSMUSG00000105729,False,False,False,0.0,,,
"15-Oxo-11Z,13E-eicosadienoic acid",ENSMUSG00000105729,False,False,False,0.0,,,
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl-",ENSMUSG00000105729,False,False,False,0.0,,,
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",ENSMUSG00000105729,False,False,False,0.0,,,
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",ENSMUSG00000105729,False,False,False,0.0,,,
2-(Bis[2-(trimethylsilyl)oxyethyl]amino)acetic acid,ENSMUSG00000105729,False,False,False,0.0,,,
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",ENSMUSG00000105729,False,False,False,0.0,,,
2-Acetyl-5-chloro-3-methylbenzo(b)thiophene,ENSMUSG00000105729,False,False,False,0.0,,,
"2-Allyl-1,4-dimethoxybenzene",ENSMUSG00000105729,False,False,False,0.0,,,
2-Amino-4-methylphenol,ENSMUSG00000105729,False,False,False,0.0,,,
"2-Amino-4,6-dihydroxypyrimidine",ENSMUSG00000105729,False,False,False,0.0,,,
2-Aminobutanoic acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Butenedioic acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Ethyl-3-hydroxypropionic acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Furoic acid,ENSMUSG00000105729,False,False,False,0.0,,,
"2-Heptanone, 4,6-dimethyl-",ENSMUSG00000105729,False,False,False,0.0,,,
2-Heptenoic acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Hexen-1-ol,ENSMUSG00000105729,False,False,False,0.0,,,
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",ENSMUSG00000105729,False,False,False,0.0,,,
2-Hydroxy-2-methylbutyric acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Hydroxy-5-methoxybenzaldehyde,ENSMUSG00000105729,False,False,False,0.0,,,
2-Hydroxybutyric acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Isopropyl-5-methyl-1-heptanol,ENSMUSG00000105729,False,False,False,0.0,,,
2-Ketoisocaproic acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Methyl-4-pentenoic acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Methylglutaconic acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Naphthol,ENSMUSG00000105729,False,False,False,0.0,,,
2-Oxooctanoic acid,ENSMUSG00000105729,False,False,False,0.0,,,
2-Pentenoic acid,ENSMUSG00000105729,False,False,False,0.0,,,
"2-Propenamide, 3-phenyl-N-2-propenyl-",ENSMUSG00000105729,False,False,False,0.0,,,
2-Pyrrolidinone,ENSMUSG00000105729,False,False,False,0.0,,,
"2,2-Diallylpyrrolidine",ENSMUSG00000105729,False,False,False,0.0,,,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",ENSMUSG00000105729,False,False,False,0.0,,,
"2,3-Butanediol",ENSMUSG00000105729,False,False,False,0.0,,,
"2,3,4-Trihydroxybutyric acid tetrakis",ENSMUSG00000105729,False,False,False,0.0,,,
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",ENSMUSG00000105729,False,False,False,0.0,,,
"2,4-Decadienal",ENSMUSG00000105729,False,False,False,0.0,,,
"2,4-Diamino-6,7-dimethylpteridine",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Di-tert-butyl-4-((trimethylsilyl)oxy)phenol",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Dimethoxy-4-methylamphetamine",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Dimethoxybenzhydrazide",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Dimethoxybenzonitrile",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Dimethoxymandelic acid",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Dimethoxyphenol",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Piperazinedione, 3-(phenylmethyl)-",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",ENSMUSG00000105729,False,False,False,0.0,,,
"2,5-Piperazinedione, 3-methyl-6-(phenylmethyl)-",ENSMUSG00000105729,False,False,False,0.0,,,
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine",ENSMUSG00000105729,False,False,False,0.0,,,
"2,6-Dimethoxybenzylamine",ENSMUSG00000105729,False,False,False,0.0,,,
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline",ENSMUSG00000105729,False,False,False,0.0,,,
"2',2,3,6'-Tetramethoxychalcone",ENSMUSG00000105729,False,False,False,0.0,,,
3-(2-Hydroxyethyl)imidazole-2-thione,ENSMUSG00000105729,False,False,False,0.0,,,
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester",ENSMUSG00000105729,False,False,False,0.0,,,
3-Amino-2-piperidone,ENSMUSG00000105729,False,False,False,0.0,,,
3-Amino-5-morpholinomethyl-2-oxazolidinone,ENSMUSG00000105729,False,False,False,0.0,,,
3-Aminobutanoic acid,ENSMUSG00000105729,False,False,False,0.0,,,
"3-Buten-2-one, 3-trimethylsilyloxy-",ENSMUSG00000105729,False,False,False,0.0,,,
"3-Buten-2-one, 4-(4-methoxyphenyl)-",ENSMUSG00000105729,False,False,False,0.0,,,
